DATAFLOW,CANTON,DOMAIN,TIME_PERIOD,OBS_VALUE
SLC:DF_CONCORDATS(1.0),GE,etat,1564,1
SLC:DF_CONCORDATS(1.0),VD,etat,1564,1
SLC:DF_CONCORDATS(1.0),AG,etat,1632,1
SLC:DF_CONCORDATS(1.0),AI,etat,1632,1
SLC:DF_CONCORDATS(1.0),BL,etat,1632,1
SLC:DF_CONCORDATS(1.0),FR,etat,1632,1
SLC:DF_CONCORDATS(1.0),NW,etat,1632,1
SLC:DF_CONCORDATS(1.0),OW,etat,1632,1
SLC:DF_CONCORDATS(1.0),SG,etat,1632,1
SLC:DF_CONCORDATS(1.0),SH,etat,1632,1
SLC:DF_CONCORDATS(1.0),UR,etat,1632,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1632,1
SLC:DF_CONCORDATS(1.0),GE,etat,1726,1
SLC:DF_CONCORDATS(1.0),SO,infra,1780,1
SLC:DF_CONCORDATS(1.0),SZ,etat,1824,1
SLC:DF_CONCORDATS(1.0),BE,etat,1828,4
SLC:DF_CONCORDATS(1.0),BL,etat,1828,2
SLC:DF_CONCORDATS(1.0),BS,etat,1828,5
SLC:DF_CONCORDATS(1.0),LU,etat,1828,2
SLC:DF_CONCORDATS(1.0),SO,etat,1828,5
SLC:DF_CONCORDATS(1.0),TG,etat,1828,1
SLC:DF_CONCORDATS(1.0),ZG,etat,1828,3
SLC:DF_CONCORDATS(1.0),SO,etat,1830,1
SLC:DF_CONCORDATS(1.0),BL,etat,1834,1
SLC:DF_CONCORDATS(1.0),SZ,sante,1840,1
SLC:DF_CONCORDATS(1.0),UR,sante,1840,1
SLC:DF_CONCORDATS(1.0),AG,educ,1841,1
SLC:DF_CONCORDATS(1.0),BL,educ,1841,1
SLC:DF_CONCORDATS(1.0),OW,educ,1841,1
SLC:DF_CONCORDATS(1.0),SG,educ,1841,1
SLC:DF_CONCORDATS(1.0),SZ,etat,1841,1
SLC:DF_CONCORDATS(1.0),SZ,fin,1841,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1841,1
SLC:DF_CONCORDATS(1.0),ZH,educ,1841,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1841,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1841,1
SLC:DF_CONCORDATS(1.0),ZH,infra,1841,1
SLC:DF_CONCORDATS(1.0),TG,etat,1846,2
SLC:DF_CONCORDATS(1.0),ZH,etat,1846,2
SLC:DF_CONCORDATS(1.0),AI,etat,1848,1
SLC:DF_CONCORDATS(1.0),NW,autres,1850,1
SLC:DF_CONCORDATS(1.0),BE,etat,1851,2
SLC:DF_CONCORDATS(1.0),SO,etat,1851,2
SLC:DF_CONCORDATS(1.0),LU,infra,1858,1
SLC:DF_CONCORDATS(1.0),SZ,infra,1858,1
SLC:DF_CONCORDATS(1.0),BL,etat,1863,1
SLC:DF_CONCORDATS(1.0),BS,etat,1863,1
SLC:DF_CONCORDATS(1.0),SG,etat,1869,1
SLC:DF_CONCORDATS(1.0),TG,etat,1869,1
SLC:DF_CONCORDATS(1.0),SG,etat,1870,6
SLC:DF_CONCORDATS(1.0),SH,etat,1870,1
SLC:DF_CONCORDATS(1.0),SZ,etat,1870,3
SLC:DF_CONCORDATS(1.0),TG,etat,1870,1
SLC:DF_CONCORDATS(1.0),ZH,etat,1870,6
SLC:DF_CONCORDATS(1.0),AG,etat,1874,1
SLC:DF_CONCORDATS(1.0),NW,etat,1874,1
SLC:DF_CONCORDATS(1.0),OW,etat,1874,1
SLC:DF_CONCORDATS(1.0),TG,etat,1886,2
SLC:DF_CONCORDATS(1.0),ZH,etat,1886,2
SLC:DF_CONCORDATS(1.0),AG,fin,1887,1
SLC:DF_CONCORDATS(1.0),UR,fin,1887,1
SLC:DF_CONCORDATS(1.0),ZH,fin,1887,1
SLC:DF_CONCORDATS(1.0),BS,fin,1888,1
SLC:DF_CONCORDATS(1.0),SO,fin,1888,1
SLC:DF_CONCORDATS(1.0),AG,autres,1889,1
SLC:DF_CONCORDATS(1.0),AI,autres,1889,1
SLC:DF_CONCORDATS(1.0),BE,etat,1889,1
SLC:DF_CONCORDATS(1.0),FR,autres,1889,1
SLC:DF_CONCORDATS(1.0),FR,etat,1889,2
SLC:DF_CONCORDATS(1.0),GL,autres,1889,1
SLC:DF_CONCORDATS(1.0),JU,etat,1889,1
SLC:DF_CONCORDATS(1.0),LU,autres,1889,1
SLC:DF_CONCORDATS(1.0),NE,autres,1889,1
SLC:DF_CONCORDATS(1.0),NW,autres,1889,1
SLC:DF_CONCORDATS(1.0),OW,autres,1889,1
SLC:DF_CONCORDATS(1.0),SG,autres,1889,1
SLC:DF_CONCORDATS(1.0),SG,etat,1889,1
SLC:DF_CONCORDATS(1.0),SH,autres,1889,1
