DATAFLOW,INSTRUMENT_TYPE,CANTON,DOMAIN,TIME_PERIOD,OBS_VALUE
SLC:DF_LAWS(1.0),reglement,BE,educ,1562,1
SLC:DF_LAWS(1.0),reglement,_T,_T,1562,1
SLC:DF_LAWS(1.0),_T,BE,_T,1562,1
SLC:DF_LAWS(1.0),_T,_T,educ,1562,1
SLC:DF_LAWS(1.0),_T,_T,_T,1562,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,GE,etat,1564,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,_T,_T,1564,1
SLC:DF_LAWS(1.0),_T,GE,_T,1564,1
SLC:DF_LAWS(1.0),_T,_T,etat,1564,1
SLC:DF_LAWS(1.0),_T,_T,_T,1564,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,AG,infra,1632,3
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,FR,fin,1632,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,NW,fin,1632,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,SG,sante,1632,7
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,ZH,fin,1632,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,_T,_T,1632,13
SLC:DF_LAWS(1.0),_T,AG,_T,1632,3
SLC:DF_LAWS(1.0),_T,FR,_T,1632,1
SLC:DF_LAWS(1.0),_T,NW,_T,1632,1
SLC:DF_LAWS(1.0),_T,SG,_T,1632,7
SLC:DF_LAWS(1.0),_T,ZH,_T,1632,1
SLC:DF_LAWS(1.0),_T,_T,fin,1632,3
SLC:DF_LAWS(1.0),_T,_T,infra,1632,3
SLC:DF_LAWS(1.0),_T,_T,sante,1632,7
SLC:DF_LAWS(1.0),_T,_T,_T,1632,13
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,GE,etat,1726,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,_T,_T,1726,1
SLC:DF_LAWS(1.0),_T,GE,_T,1726,1
SLC:DF_LAWS(1.0),_T,_T,etat,1726,1
SLC:DF_LAWS(1.0),_T,_T,_T,1726,1
SLC:DF_LAWS(1.0),staatsvertrag,GE,etat,1749,1
SLC:DF_LAWS(1.0),staatsvertrag,_T,_T,1749,1
SLC:DF_LAWS(1.0),_T,GE,_T,1749,1
SLC:DF_LAWS(1.0),_T,_T,etat,1749,1
SLC:DF_LAWS(1.0),_T,_T,_T,1749,1
SLC:DF_LAWS(1.0),staatsvertrag,BS,infra,1756,1
SLC:DF_LAWS(1.0),staatsvertrag,_T,_T,1756,1
SLC:DF_LAWS(1.0),_T,BS,_T,1756,1
SLC:DF_LAWS(1.0),_T,_T,infra,1756,1
SLC:DF_LAWS(1.0),_T,_T,_T,1756,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,SO,infra,1780,1
SLC:DF_LAWS(1.0),interkantonale_vereinbarung,_T,_T,1780,1
SLC:DF_LAWS(1.0),_T,SO,_T,1780,1
SLC:DF_LAWS(1.0),_T,_T,infra,1780,1
SLC:DF_LAWS(1.0),_T,_T,_T,1780,1
SLC:DF_LAWS(1.0),anderes,NW,etat,1787,1
SLC:DF_LAWS(1.0),anderes,_T,_T,1787,1
SLC:DF_LAWS(1.0),_T,NW,_T,1787,1
SLC:DF_LAWS(1.0),_T,_T,etat,1787,1
SLC:DF_LAWS(1.0),_T,_T,_T,1787,1
SLC:DF_LAWS(1.0),anderes,GL,fin,1800,1
SLC:DF_LAWS(1.0),anderes,_T,_T,1800,1
SLC:DF_LAWS(1.0),_T,GL,_T,1800,1
SLC:DF_LAWS(1.0),_T,_T,fin,1800,1
SLC:DF_LAWS(1.0),_T,_T,_T,1800,1
SLC:DF_LAWS(1.0),anderes,SO,autres,1802,1
SLC:DF_LAWS(1.0),anderes,SO,educ,1802,1
SLC:DF_LAWS(1.0),gesetz,VS,etat,1802,1
SLC:DF_LAWS(1.0),anderes,_T,_T,1802,2
SLC:DF_LAWS(1.0),gesetz,_T,_T,1802,1
SLC:DF_LAWS(1.0),_T,SO,_T,1802,2
SLC:DF_LAWS(1.0),_T,VS,_T,1802,1
SLC:DF_LAWS(1.0),_T,_T,autres,1802,1
SLC:DF_LAWS(1.0),_T,_T,educ,1802,1
SLC:DF_LAWS(1.0),_T,_T,etat,1802,1
SLC:DF_LAWS(1.0),_T,_T,_T,1802,3
SLC:DF_LAWS(1.0),anderes,AG,etat,1803,1
SLC:DF_LAWS(1.0),anderes,SO,etat,1803,3
SLC:DF_LAWS(1.0),anderes,TG,etat,1803,1
SLC:DF_LAWS(1.0),anderes,VD,etat,1803,3
SLC:DF_LAWS(1.0),dekret,VD,etat,1803,1
SLC:DF_LAWS(1.0),gesetz,GE,etat,1803,1
SLC:DF_LAWS(1.0),gesetz,TI,etat,1803,2
SLC:DF_LAWS(1.0),gesetz,VD,etat,1803,2
SLC:DF_LAWS(1.0),anderes,_T,_T,1803,8
SLC:DF_LAWS(1.0),dekret,_T,_T,1803,1
SLC:DF_LAWS(1.0),gesetz,_T,_T,1803,5
SLC:DF_LAWS(1.0),_T,AG,_T,1803,1
SLC:DF_LAWS(1.0),_T,GE,_T,1803,1
SLC:DF_LAWS(1.0),_T,SO,_T,1803,3
SLC:DF_LAWS(1.0),_T,TG,_T,1803,1
SLC:DF_LAWS(1.0),_T,TI,_T,1803,2
SLC:DF_LAWS(1.0),_T,VD,_T,1803,6
SLC:DF_LAWS(1.0),_T,_T,etat,1803,14
SLC:DF_LAWS(1.0),_T,_T,_T,1803,14
SLC:DF_LAWS(1.0),gesetz,VD,autres,1804,1
SLC:DF_LAWS(1.0),gesetz,_T,_T,1804,1
SLC:DF_LAWS(1.0),_T,VD,_T,1804,1
SLC:DF_LAWS(1.0),_T,_T,autres,1804,1
SLC:DF_LAWS(1.0),_T,_T,_T,1804,1
SLC:DF_LAWS(1.0),anderes,GL,educ,1807,1
SLC:DF_LAWS(1.0),anderes,_T,_T,1807,1
SLC:DF_LAWS(1.0),_T,GL,_T,1807,1
SLC:DF_LAWS(1.0),_T,_T,educ,1807,1
SLC:DF_LAWS(1.0),_T,_T,_T,1807,1
SLC:DF_LAWS(1.0),staatsvertrag,FR,autres,1808,1
SLC:DF_LAWS(1.0),staatsvertrag,_T,_T,1808,1
SLC:DF_LAWS(1.0),_T,FR,_T,1808,1
SLC:DF_LAWS(1.0),_T,_T,autres,1808,1
SLC:DF_LAWS(1.0),_T,_T,_T,1808,1
SLC:DF_LAWS(1.0),anderes,GE,autres,1815,1
SLC:DF_LAWS(1.0),gesetz,GE,etat,1815,1
SLC:DF_LAWS(1.0),staatsvertrag,BL,etat,1815,1
SLC:DF_LAWS(1.0),staatsvertrag,GE,etat,1815,2
SLC:DF_LAWS(1.0),anderes,_T,_T,1815,1
SLC:DF_LAWS(1.0),gesetz,_T,_T,1815,1
SLC:DF_LAWS(1.0),staatsvertrag,_T,_T,1815,3
SLC:DF_LAWS(1.0),_T,BL,_T,1815,1
SLC:DF_LAWS(1.0),_T,GE,_T,1815,4
SLC:DF_LAWS(1.0),_T,_T,autres,1815,1
