# Swiss Law Collection — cantonal acts of type 'Other' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
NW,1787,1,0,0,0,0,0,0,1
GL,1800,0,0,0,0,0,1,0,1
SO,1802,0,0,1,0,0,0,1,2
AG,1803,1,0,0,0,0,0,0,1
SO,1803,3,0,0,0,0,0,0,3
TG,1803,1,0,0,0,0,0,0,1
VD,1803,3,0,0,0,0,0,0,3
GL,1807,0,0,1,0,0,0,0,1
GE,1815,0,0,0,0,0,0,1,1
SO,1828,1,0,0,0,0,0,0,1
BL,1829,1,0,0,0,0,0,0,1
SO,1830,2,0,0,0,0,0,0,2
AG,1832,0,1,0,0,0,0,0,1
FR,1832,1,0,0,0,0,0,0,1
NE,1832,0,1,0,0,0,0,0,1
BL,1836,1,0,0,0,0,0,0,1
FR,1848,1,0,0,0,0,0,0,1
GL,1859,0,0,1,0,0,0,0,1
NE,1864,0,1,0,0,0,0,0,1
FR,1866,1,0,0,0,0,0,0,1
NE,1866,1,0,0,0,0,0,0,1
FR,1867,1,0,0,0,0,0,0,1
LU,1868,0,0,0,1,0,0,0,1
UR,1869,1,0,0,0,0,0,0,1
BL,1870,0,0,0,1,0,0,0,1
GL,1872,0,0,0,1,0,0,0,1
FR,1873,1,0,0,0,0,0,0,1
NE,1874,0,0,0,0,0,0,1,1
SO,1874,2,0,0,0,0,0,0,2
SO,1875,1,0,0,0,0,0,0,1
BS,1876,2,0,0,0,0,0,0,2
FR,1879,1,0,0,0,0,0,0,1
NE,1879,1,0,0,0,0,0,0,1
FR,1880,0,1,0,0,0,0,0,1
ZH,1880,0,0,0,1,0,0,0,1
AR,1881,1,0,0,0,0,0,0,1
BL,1881,0,1,0,0,0,0,0,1
BS,1882,0,0,1,0,0,0,0,1
NE,1887,0,0,0,1,0,0,0,1
NE,1888,0,0,0,0,1,0,0,1
VS,1891,0,0,0,1,0,0,0,1
AR,1896,0,0,1,0,0,0,0,1
VD,1897,0,0,0,0,0,1,0,1
SO,1898,0,0,0,0,0,1,0,1
FR,1899,0,0,2,0,0,0,0,2
SO,1899,1,0,0,0,0,0,0,1
VD,1899,0,1,0,0,0,0,0,1
BS,1900,0,0,0,1,0,0,0,1
NE,1900,3,0,0,0,0,0,0,3
GL,1901,0,0,0,0,0,0,1,1
SH,1902,0,0,0,1,0,0,0,1
SZ,1902,0,0,0,1,0,0,0,1
VD,1903,0,0,0,1,0,0,0,1
ZG,1904,0,0,0,1,0,0,0,1
GL,1906,0,0,0,1,1,0,0,2
ZH,1906,1,0,0,0,0,0,0,1
BS,1907,1,0,0,0,0,0,0,1
NE,1907,1,0,0,0,0,0,2,3
SO,1907,0,1,0,0,0,0,0,1
NE,1908,0,0,3,0,0,0,0,3
SO,1908,0,0,0,0,0,1,0,1
NE,1909,1,0,0,0,0,0,0,1
SO,1909,0,0,1,0,0,2,1,4
AG,1910,0,0,1,0,0,0,0,1
GL,1910,0,0,0,1,0,0,0,1
NE,1910,0,0,0,0,0,0,2,2
ZH,1910,0,0,1,0,0,0,0,1
BE,1911,0,0,0,3,0,0,0,3
NE,1911,1,19,0,0,1,0,2,23
SO,1911,1,0,0,0,0,0,1,2
NE,1912,0,0,0,0,2,1,0,3
SO,1912,0,1,0,0,0,1,0,2
GR,1913,0,0,0,1,0,0,1,2
NE,1913,1,0,0,0,0,0,0,1
NE,1914,1,0,0,0,0,0,0,1
SH,1914,0,0,0,1,0,0,0,1
SO,1914,0,1,0,0,0,0,0,1
ZH,1914,0,0,1,0,0,0,0,1
