# Swiss Law Collection — cantonal acts of type 'Other' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1803,Etat.Dispositions générales.Armoiries,1
AG,1832,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Dimanches et jours fériés",1
AG,1910,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
AG,1921,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1934,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1974,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection de la nature",1
AG,1975,Economie.Agriculture.Formation agricole.Ecole agricole,1
AG,1981,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1985,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Employés de maison,1
AG,1987,Etat.Autorités.Protection des données,1
AG,1990,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole primaire, degré secondaire I",1
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Electricité",3
AG,1995,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Ramoneurs",1
AG,1996,Droit pénal.Procédure pénale.Médecine légale,1
AG,2001,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,2002,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AG,2002,Economie.Arts et métiers.Services.Jeux de hasard et loteries.Maisons de jeu,1
AG,2003,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
AG,2004,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Agriculture,1
AG,2004,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Assurances des bâtiments.Assurance contre les dommages causés par les éléments naturels",1
AG,2004,"Défense nationale, protection de la population, police.Douanes.Protection des frontières",1
AG,2004,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2007,"Finances, Impôts, monopoles, entreprises d'état",2
AG,2008,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Employés de maison,1
AG,2009,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2009,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports régionaux",1
AG,2011,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Assurances des bâtiments.Assurance contre les dommages causés par les éléments naturels",2
AG,2011,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
AG,2012,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AG,2012,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2015,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AG,2016,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
AG,2016,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
AG,2018,Etat,1
AG,2018,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,2019,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Contrats-type.Employés de maison,1
AG,2021,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre les incendies",1
AG,2022,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AG,2023,"Finances, Impôts, monopoles, entreprises d'état",2
AG,2024,"Finances, Impôts, monopoles, entreprises d'état",1
AI,1925,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Sécurité",2
AI,1955,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Sécurité",1
AI,1972,Etat.Dispositions générales.Droit de cité,1
AI,1996,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AI,1998,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",4
AI,1998,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation continue des enseignants",1
AI,1998,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LAMAL.Réduction des primes",1
AI,1999,Etat.Autorités.Gouvernement et administration.Droit du personnel.Engagement,2
AI,1999,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",4
AI,2005,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
AI,2006,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AI,2007,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",2
AI,2009,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AI,2010,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Homes.Etablissements pour personnes âgées",1
AI,2011,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AI,2016,Etat.Eglise et Etat.Eglise évangélique réformée,1
