# Swiss Law Collection — intercantonal agreement memberships, computed: one occurrence per SIGNING canton per agreement (signed by 10 cantons -> 10 occurrences)
# signatories per agreement = cantons publishing the text in their collections + cantons named in any language version's title; no scaling, no external baseline
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GE,1564,1,0,0,0,0,0,0,1
VD,1564,1,0,0,0,0,0,0,1
AG,1632,1,0,0,0,0,0,0,1
AI,1632,1,0,0,0,0,0,0,1
AR,1632,1,0,0,0,0,0,0,1
BE,1632,1,0,0,0,0,0,0,1
BL,1632,1,0,0,0,0,0,0,1
BS,1632,1,0,0,0,0,0,0,1
FR,1632,1,0,0,0,0,0,0,1
GL,1632,1,0,0,0,0,0,0,1
GR,1632,1,0,0,0,0,0,0,1
JU,1632,1,0,0,0,0,0,0,1
LU,1632,1,0,0,0,0,0,0,1
NE,1632,1,0,0,0,0,0,0,1
NW,1632,1,0,0,0,0,0,0,1
OW,1632,1,0,0,0,0,0,0,1
SG,1632,1,0,0,0,0,0,0,1
SH,1632,1,0,0,0,0,0,0,1
SO,1632,1,0,0,0,0,0,0,1
SZ,1632,1,0,0,0,0,0,0,1
TG,1632,1,0,0,0,0,0,0,1
UR,1632,1,0,0,0,0,0,0,1
VD,1632,1,0,0,0,0,0,0,1
ZG,1632,1,0,0,0,0,0,0,1
ZH,1632,1,0,0,0,0,0,0,1
GE,1726,1,0,0,0,0,0,0,1
SO,1780,0,0,0,1,0,0,0,1
SZ,1824,1,0,0,0,0,0,0,1
BE,1828,6,0,0,0,0,0,0,6
BL,1828,2,0,0,0,0,0,0,2
BS,1828,6,0,0,0,0,0,0,6
LU,1828,5,0,0,0,0,0,0,5
SO,1828,7,0,0,0,0,0,0,7
TG,1828,1,0,0,0,0,0,0,1
ZG,1828,6,0,0,0,0,0,0,6
SO,1830,1,0,0,0,0,0,0,1
AG,1834,1,0,0,0,0,0,0,1
BE,1834,1,0,0,0,0,0,0,1
BL,1834,1,0,0,0,0,0,0,1
LU,1834,1,0,0,0,0,0,0,1
SG,1834,1,0,0,0,0,0,0,1
SO,1834,1,0,0,0,0,0,0,1
TG,1834,1,0,0,0,0,0,0,1
SZ,1840,0,1,0,0,0,0,0,1
UR,1840,0,1,0,0,0,0,0,1
AG,1841,0,0,1,0,0,0,0,1
AI,1841,0,0,1,0,0,0,0,1
BL,1841,0,0,1,0,0,0,0,1
BS,1841,0,0,1,0,0,0,0,1
NW,1841,0,0,1,0,0,0,0,1
OW,1841,0,0,1,0,0,0,0,1
SG,1841,0,0,1,0,0,0,0,1
SZ,1841,1,0,1,1,0,1,0,4
UR,1841,0,0,1,0,0,0,0,1
ZH,1841,1,0,1,1,0,1,0,4
TG,1846,2,0,0,0,0,0,0,2
ZH,1846,2,0,0,0,0,0,0,2
AI,1848,1,0,0,0,0,0,0,1
BE,1848,1,0,0,0,0,0,0,1
SG,1848,1,0,0,0,0,0,0,1
NW,1850,0,0,0,0,0,0,1,1
BE,1851,2,0,0,0,0,0,0,2
SO,1851,2,0,0,0,0,0,0,2
LU,1858,0,0,0,1,0,0,0,1
NW,1858,0,0,0,1,0,0,0,1
OW,1858,0,0,0,1,0,0,0,1
SZ,1858,0,0,0,1,0,0,0,1
UR,1858,0,0,0,1,0,0,0,1
BL,1863,1,0,0,0,0,0,0,1
BS,1863,1,0,0,0,0,0,0,1
SG,1869,1,0,0,0,0,0,0,1
TG,1869,1,0,0,0,0,0,0,1
GL,1870,1,0,0,0,0,0,0,1
SG,1870,6,0,0,0,0,0,0,6
SH,1870,1,0,0,0,0,0,0,1
SZ,1870,4,0,0,0,0,0,0,4
TG,1870,1,0,0,0,0,0,0,1
ZG,1870,1,0,0,0,0,0,0,1
ZH,1870,6,0,0,0,0,0,0,6
AG,1874,1,0,0,0,0,0,0,1
NW,1874,1,0,0,0,0,0,0,1
OW,1874,1,0,0,0,0,0,0,1
ZH,1874,1,0,0,0,0,0,0,1
TG,1886,2,0,0,0,0,0,0,2
ZH,1886,2,0,0,0,0,0,0,2
AG,1887,0,0,0,0,0,1,0,1
SG,1887,0,0,0,0,0,1,0,1
SO,1887,0,0,0,0,0,1,0,1
SZ,1887,0,0,0,0,0,1,0,1
TG,1887,0,0,0,0,0,1,0,1
UR,1887,0,0,0,0,0,1,0,1
ZH,1887,0,0,0,0,0,1,0,1
BS,1888,0,0,0,0,0,1,0,1
SO,1888,0,0,0,0,0,1,0,1
AG,1889,0,0,0,0,0,0,1,1
AI,1889,0,0,0,0,0,0,1,1
BE,1889,1,0,0,0,0,0,1,2
BL,1889,0,0,0,0,0,0,1,1
BS,1889,0,0,0,0,0,0,1,1
FR,1889,2,0,0,0,0,0,1,3
GE,1889,0,0,0,0,0,0,1,1
GL,1889,0,0,0,0,0,0,1,1
JU,1889,1,0,0,0,0,0,1,2
LU,1889,0,0,0,0,0,0,1,1
NE,1889,0,0,0,0,0,0,2,2
