# Swiss Law Collection — intercantonal agreement memberships since 1848, chstat/BADAC counting (one count per signatory canton)
# computed from the collection's signatory-weighted series; years <= 2003 are calibrated per canton so canton totals equal chstat's published 2003 figures (2,522 overall); later years are unscaled
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io; calibration target: chstat.ch/BADAC 2003 (Institute of Federalism)
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GE,1564,1,0,0,0,0,0,0,1
VD,1564,2,0,0,0,0,0,0,2
AG,1632,2,0,0,0,0,0,0,2
AI,1632,2,0,0,0,0,0,0,2
BL,1632,1,0,0,0,0,0,0,1
FR,1632,2,0,0,0,0,0,0,2
NW,1632,2,0,0,0,0,0,0,2
OW,1632,4,0,0,0,0,0,0,4
SG,1632,2,0,0,0,0,0,0,2
SH,1632,2,0,0,0,0,0,0,2
UR,1632,3,0,0,0,0,0,0,3
ZH,1632,1,0,0,0,0,0,0,1
GE,1726,1,0,0,0,0,0,0,1
SO,1780,0,0,0,2,0,0,0,2
SZ,1824,1,0,0,0,0,0,0,1
BE,1828,9,0,0,0,0,0,0,9
BL,1828,2,0,0,0,0,0,0,2
BS,1828,6,0,0,0,0,0,0,6
LU,1828,3,0,0,0,0,0,0,3
SO,1828,6,0,0,0,0,0,0,6
TG,1828,1,0,0,0,0,0,0,1
ZG,1828,2,0,0,0,0,0,0,2
SO,1830,2,0,0,0,0,0,0,2
BL,1834,1,0,0,0,0,0,0,1
SZ,1840,0,1,0,0,0,0,0,1
UR,1840,0,3,0,0,0,0,0,3
AG,1841,0,0,2,0,0,0,0,2
BL,1841,0,0,1,0,0,0,0,1
OW,1841,0,0,4,0,0,0,0,4
SG,1841,0,0,2,0,0,0,0,2
SZ,1841,1,0,0,1,0,1,0,3
ZH,1841,1,0,1,1,0,1,0,4
TG,1846,2,0,0,0,0,0,0,2
ZH,1846,2,0,0,0,0,0,0,2
AI,1848,2,0,0,0,0,0,0,2
NW,1850,0,0,0,0,0,0,2,2
BE,1851,5,0,0,0,0,0,0,5
SO,1851,3,0,0,0,0,0,0,3
LU,1858,0,0,0,2,0,0,0,2
SZ,1858,0,0,0,1,0,0,0,1
BL,1863,1,0,0,0,0,0,0,1
BS,1863,1,0,0,0,0,0,0,1
SG,1869,2,0,0,0,0,0,0,2
TG,1869,1,0,0,0,0,0,0,1
SG,1870,8,0,0,0,0,0,0,8
SH,1870,2,0,0,0,0,0,0,2
SZ,1870,4,0,0,0,0,0,0,4
TG,1870,1,0,0,0,0,0,0,1
ZH,1870,5,0,0,0,0,0,0,5
AG,1874,2,0,0,0,0,0,0,2
NW,1874,2,0,0,0,0,0,0,2
OW,1874,4,0,0,0,0,0,0,4
TG,1886,2,0,0,0,0,0,0,2
ZH,1886,2,0,0,0,0,0,0,2
AG,1887,0,0,0,0,0,2,0,2
UR,1887,0,0,0,0,0,3,0,3
ZH,1887,0,0,0,0,0,1,0,1
BS,1888,0,0,0,0,0,1,0,1
SO,1888,0,0,0,0,0,2,0,2
AG,1889,0,0,0,0,0,0,2,2
AI,1889,0,0,0,0,0,0,2,2
BE,1889,2,0,0,0,0,0,0,2
FR,1889,3,0,0,0,0,0,2,5
GL,1889,0,0,0,0,0,0,2,2
JU,1889,4,0,0,0,0,0,0,4
LU,1889,0,0,0,0,0,0,2,2
NE,1889,0,0,0,0,0,0,1,1
NW,1889,0,0,0,0,0,0,2,2
OW,1889,0,0,0,0,0,0,4,4
SG,1889,2,0,0,0,0,0,2,4
SH,1889,0,0,0,0,0,0,2,2
SO,1889,0,0,0,0,0,0,2,2
TG,1889,1,0,0,0,0,0,0,1
UR,1889,0,0,0,0,0,0,3,3
ZG,1889,0,0,0,0,0,0,1,1
ZH,1889,0,0,0,0,0,0,1,1
NW,1890,0,0,0,0,0,0,2,2
TG,1890,1,0,0,0,0,0,0,1
UR,1890,0,0,0,0,0,0,3,3
SG,1891,2,0,0,0,0,0,0,2
TG,1891,1,0,0,1,0,0,0,2
BE,1893,0,0,0,0,0,0,5,5
LU,1894,0,0,0,0,0,2,0,2
BE,1895,2,0,0,0,0,0,0,2
NE,1895,1,0,0,0,0,0,0,1
AR,1896,0,0,0,0,0,0,2,2
LU,1896,0,0,0,0,0,0,2,2
NE,1896,0,0,0,0,0,0,1,1
SZ,1896,0,0,0,0,0,0,1,1
TG,1896,0,0,0,0,0,0,1,1
TI,1896,0,0,0,0,0,0,2,2
ZG,1896,0,0,0,0,0,0,1,1
SO,1899,0,0,0,0,0,1,0,1
NW,1900,0,0,2,0,0,0,0,2
GE,1901,0,0,0,0,0,0,1,1
GL,1901,0,0,0,0,0,0,2,2
GR,1901,0,0,0,0,0,0,2,2
SH,1901,3,0,0,0,0,0,0,3
SO,1901,0,0,0,0,0,0,1,1
ZH,1901,2,0,0,0,0,0,0,2
BS,1902,0,0,0,0,0,0,1,1
ZH,1902,1,0,0,0,0,0,0,1
BL,1903,0,0,0,0,0,0,1,1
VD,1903,0,0,0,0,0,0,2,2
LU,1905,0,0,0,0,0,0,2,2
BL,1906,1,0,0,0,0,0,0,1
BS,1906,1,0,0,0,0,0,0,1
GR,1906,0,0,0,0,0,2,0,2
TG,1906,0,0,0,0,0,1,0,1
ZH,1906,0,0,0,0,0,1,0,1
NE,1907,0,0,3,0,0,0,0,3
TG,1907,1,0,0,0,0,0,0,1
VD,1907,0,0,2,0,0,0,0,2
ZH,1907,1,0,0,0,0,0,0,1
BL,1909,1,0,0,0,0,0,0,1
BS,1909,1,0,0,0,0,0,0,1
FR,1909,2,0,0,0,0,0,0,2
GE,1909,1,0,0,0,0,0,0,1
JU,1909,4,0,0,0,0,0,0,4
NW,1909,2,0,0,0,0,0,0,2
SO,1909,1,0,0,0,0,0,0,1
TG,1909,1,0,0,0,0,0,0,1
TI,1909,2,0,0,0,0,0,0,2
VD,1909,2,0,0,0,0,0,0,2
ZG,1909,1,0,0,0,0,0,0,1
NE,1910,0,0,0,1,0,0,0,1
SO,1910,0,0,0,0,0,1,0,1
VD,1910,0,0,0,0,0,2,0,2
VD,1911,0,0,0,2,0,0,0,2
BL,1912,0,0,0,0,0,1,0,1
BS,1912,0,0,0,0,0,1,0,1
NE,1912,0,0,0,0,0,2,0,2
SO,1912,0,0,0,3,0,0,0,3
AG,1914,0,0,0,5,0,0,0,5
AR,1914,0,0,0,2,0,0,0,2
GL,1914,0,0,0,2,0,0,0,2
SG,1914,0,0,0,3,0,0,0,3
SH,1914,0,0,0,3,0,0,0,3
SO,1914,0,0,0,1,0,0,0,1
SZ,1914,0,0,0,1,0,0,0,1
TG,1914,0,0,0,1,0,0,0,1
ZG,1914,0,0,0,1,0,0,0,1
ZH,1914,0,0,0,2,0,0,0,2
GL,1915,0,0,0,2,0,0,0,2
SZ,1916,0,0,0,1,0,0,0,1
ZG,1916,0,0,0,1,0,0,0,1
ZH,1916,0,0,0,1,0,0,0,1
SH,1918,4,0,0,0,0,0,0,4
TG,1918,2,0,0,0,0,0,0,2
BL,1919,0,0,0,1,0,0,0,1
BS,1919,0,0,0,1,0,0,0,1
SZ,1919,0,0,0,1,0,0,0,1
ZG,1919,0,0,0,1,0,0,0,1
ZH,1919,0,0,0,2,0,0,0,2
AG,1922,0,0,0,0,0,2,0,2
BL,1922,0,0,0,0,0,1,0,1
FR,1922,0,0,0,0,0,2,0,2
LU,1922,0,0,0,2,0,0,0,2
OW,1922,0,0,0,0,0,4,0,4
SG,1922,0,0,0,0,0,2,0,2
ZH,1922,2,0,0,0,0,1,0,3
GR,1923,0,0,0,0,2,0,0,2
AR,1924,0,2,0,0,0,0,0,2
AG,1926,0,0,0,0,0,2,0,2
TG,1926,2,0,0,0,0,1,1,4
ZH,1926,2,0,0,0,0,2,1,5
SZ,1927,0,0,0,1,0,0,0,1
ZH,1927,0,0,0,1,0,0,0,1
SH,1928,0,0,0,0,0,2,0,2
SZ,1929,0,0,0,2,0,0,0,2
ZH,1929,0,0,0,1,0,0,0,1
SZ,1930,0,0,0,1,0,0,0,1
ZG,1930,0,0,0,1,0,0,0,1
