# Swiss Law Collection — cantonal acts of type 'Parliamentary ordinance (decree)' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
VD,1803,1,0,0,0,0,0,0,1
BE,1828,1,0,0,0,0,0,0,1
JU,1828,1,0,0,0,0,0,0,1
FR,1831,1,0,0,0,0,0,0,1
FR,1836,1,0,0,0,0,0,0,1
BE,1846,0,0,0,0,0,0,1,1
FR,1848,1,0,0,0,0,0,0,1
OW,1850,1,0,0,0,0,0,0,1
BE,1852,1,0,0,0,0,0,0,1
LU,1860,0,0,0,0,0,1,0,1
VD,1862,1,0,0,0,0,0,0,1
NE,1864,0,1,0,0,0,0,0,1
VD,1865,1,0,0,0,0,0,0,1
FR,1866,1,0,0,0,0,0,0,1
FR,1868,1,0,0,0,0,0,0,1
AG,1869,0,0,0,0,0,1,0,1
BE,1874,0,1,0,0,0,0,0,1
SZ,1874,1,0,0,0,0,0,0,1
BE,1875,0,0,0,1,0,0,0,1
AI,1876,0,0,0,0,1,0,0,1
BE,1876,0,1,0,0,0,0,0,1
VD,1876,0,1,0,0,0,0,0,1
BE,1877,1,0,0,0,0,0,0,1
GR,1877,0,0,0,1,0,0,0,1
BS,1883,0,0,1,0,0,0,0,1
NE,1885,1,0,0,0,0,0,0,1
BL,1886,0,0,0,1,0,0,0,1
UR,1888,0,1,0,0,0,0,0,1
SH,1889,1,0,0,0,0,0,0,1
VD,1889,0,1,0,0,0,0,0,1
BS,1891,1,0,0,0,0,0,0,1
UR,1891,0,0,0,1,0,0,0,1
OW,1892,1,0,0,0,0,0,1,2
VD,1892,0,0,0,0,0,0,1,1
NE,1895,0,0,1,0,0,0,0,1
OW,1895,0,0,0,0,0,1,0,1
BS,1896,1,0,0,0,0,0,0,1
AI,1897,0,0,0,0,0,0,1,1
VD,1897,0,1,0,0,0,0,0,1
OW,1899,1,0,0,0,0,0,0,1
SG,1899,1,0,0,0,0,0,0,1
BS,1900,1,0,0,0,0,0,0,1
NE,1900,0,0,0,1,0,0,0,1
BS,1901,0,0,0,1,0,0,0,1
SG,1901,0,0,0,1,0,0,0,1
SZ,1903,0,0,0,0,0,0,1,1
BS,1906,0,0,0,1,0,0,0,1
SZ,1906,0,0,0,0,1,0,0,1
AG,1908,0,0,1,0,0,0,0,1
AG,1909,0,1,0,0,0,0,0,1
BE,1909,1,0,0,0,0,0,0,1
NE,1910,1,0,0,0,0,0,0,1
AI,1911,0,0,0,0,0,0,1,1
BE,1911,0,0,0,0,0,0,1,1
BL,1911,0,0,0,0,1,0,0,1
OW,1911,0,0,0,0,0,0,1,1
UR,1911,0,0,0,0,0,0,1,1
VD,1911,0,1,0,0,0,0,0,1
AR,1912,1,0,0,0,0,0,0,1
AR,1913,0,0,0,0,1,0,0,1
OW,1913,0,0,0,0,0,0,1,1
SG,1914,0,0,0,1,0,0,0,1
AG,1915,0,0,0,0,0,0,1,1
OW,1915,1,0,0,0,0,0,0,1
OW,1916,0,0,0,1,0,0,0,1
AR,1917,0,0,0,0,0,1,0,1
GR,1917,0,0,0,1,0,0,0,1
AI,1918,0,1,0,0,0,0,1,2
OW,1918,0,0,0,0,0,0,1,1
UR,1918,0,1,0,0,0,0,0,1
BL,1919,0,0,0,0,0,1,0,1
AI,1920,1,0,0,0,0,0,0,1
BL,1920,0,1,0,0,0,0,0,1
VD,1920,1,0,0,0,0,0,0,1
AI,1921,2,0,0,0,0,0,0,2
BL,1921,0,0,0,0,0,1,0,1
TI,1921,0,0,0,1,0,0,0,1
ZG,1921,0,0,0,0,0,1,0,1
FR,1922,0,0,0,0,0,0,1,1
VD,1923,0,1,0,0,0,0,0,1
AG,1924,1,0,0,0,0,0,0,1
AI,1924,1,0,0,0,0,0,0,1
VD,1924,0,1,0,0,0,0,0,1
AI,1925,0,0,0,0,0,1,1,2
NW,1926,0,0,0,0,0,0,1,1
SZ,1926,0,1,0,0,0,0,0,1
GL,1927,0,0,1,0,0,0,0,1
GR,1927,0,1,0,0,0,0,0,1
OW,1927,0,1,0,0,0,0,0,1
UR,1927,0,0,0,0,0,0,1,1
AG,1928,1,0,0,0,0,0,0,1
OW,1928,0,0,0,0,1,0,0,1
SG,1929,0,0,0,1,0,0,0,1
SH,1929,1,0,0,0,0,0,0,1
SZ,1929,0,0,0,1,0,0,0,1
AR,1931,0,1,0,0,0,0,0,1
OW,1931,0,1,0,0,0,0,0,1
AG,1932,1,0,0,0,0,0,0,1
AR,1932,0,0,0,0,1,0,0,1
NW,1932,0,1,0,0,0,0,0,1
SZ,1932,0,0,0,1,0,0,0,1
UR,1932,0,0,0,1,0,0,0,1
ZG,1932,1,0,0,0,0,0,0,1
UR,1933,0,1,0,0,0,0,0,1
FR,1935,0,0,0,0,1,0,0,1
OW,1935,0,0,0,1,0,0,0,1
AI,1937,0,0,0,0,0,0,1,1
OW,1937,0,0,0,0,1,0,0,1
SH,1937,0,1,0,0,0,0,0,1
SZ,1937,0,0,0,1,0,0,0,1
BE,1938,1,0,0,0,0,0,0,1
OW,1938,0,0,0,0,0,0,1,1
VD,1938,0,1,0,0,0,0,0,1
BE,1939,1,0,0,0,0,0,0,1
OW,1939,0,1,0,0,0,0,0,1
SG,1939,1,0,0,0,0,0,0,1
BS,1940,0,0,0,1,0,0,0,1
TI,1940,0,0,0,1,0,0,0,1
UR,1940,0,0,0,0,0,0,1,1
NE,1941,0,0,0,0,0,0,1,1
TG,1941,1,0,0,0,0,0,0,1
AI,1942,0,1,0,0,0,0,0,1
AR,1942,0,1,0,0,0,0,0,1
FR,1942,0,0,0,1,0,0,0,1
NE,1942,0,0,1,0,0,0,0,1
OW,1942,0,0,0,0,0,0,1,1
SZ,1942,0,0,0,0,0,1,0,1
VD,1942,1,0,0,0,0,0,0,1
AG,1943,0,0,0,0,1,1,0,2
AI,1943,0,0,0,0,1,0,1,2
BE,1943,0,0,0,0,1,0,0,1
BL,1943,1,0,0,0,0,0,0,1
BS,1943,0,0,1,0,0,0,0,1
SH,1943,0,0,0,0,1,0,0,1
TI,1943,0,0,0,0,1,0,0,1
ZG,1943,0,0,0,0,1,0,0,1
AG,1944,0,1,0,0,0,0,0,1
OW,1944,0,0,0,0,1,0,0,1
SZ,1944,0,0,0,1,1,0,0,2
UR,1944,0,0,0,0,1,0,0,1
ZH,1945,0,1,0,0,0,0,0,1
AI,1946,0,0,0,0,0,1,0,1
GR,1946,1,0,0,0,0,0,0,1
NE,1946,0,1,0,0,0,0,0,1
SG,1946,0,0,0,0,1,0,0,1
AI,1947,0,0,0,0,0,0,1,1
AR,1947,0,1,0,0,0,0,0,1
NE,1947,0,1,0,0,0,0,0,1
SG,1947,0,0,0,0,0,1,0,1
TI,1947,0,0,0,0,0,0,1,1
AG,1948,0,1,0,1,0,0,0,2
TI,1948,0,1,0,0,0,0,0,1
UR,1948,0,1,0,0,0,0,0,1
AR,1949,0,1,0,0,0,0,0,1
BE,1949,0,0,0,0,0,1,0,1
GL,1949,0,0,0,0,0,0,1,1
SZ,1949,0,0,0,0,0,1,0,1
TI,1949,0,0,0,0,0,2,1,3
ZG,1949,1,0,0,0,0,0,0,1
LU,1950,0,0,0,0,0,1,0,1
SZ,1950,0,0,0,1,0,0,0,1
TI,1950,0,1,0,0,0,1,0,2
ZG,1950,0,0,0,0,0,1,0,1
AI,1951,0,0,0,0,0,0,1,1
BE,1951,0,0,1,0,0,0,0,1
NE,1951,0,1,0,0,0,0,0,1
BL,1952,0,0,0,2,0,0,0,2
OW,1952,0,1,0,0,0,0,0,1
SZ,1952,0,0,0,1,0,0,0,1
TI,1952,0,1,0,0,0,1,0,2
AR,1953,0,1,0,0,0,0,0,1
GR,1953,1,0,0,0,0,0,0,1
LU,1953,1,0,0,0,1,0,0,2
SZ,1953,0,1,0,2,0,0,0,3
VD,1953,0,1,0,0,0,0,0,1
NE,1954,1,1,0,0,0,0,0,2
OW,1954,0,1,0,0,0,0,0,1
SZ,1954,0,1,0,2,0,0,0,3
UR,1954,0,2,0,0,0,0,0,2
VD,1954,1,0,0,0,0,0,0,1
AG,1955,0,1,0,0,0,0,0,1
BS,1955,0,0,0,0,0,1,0,1
OW,1955,0,0,0,1,0,0,0,1
SG,1955,0,0,0,0,0,1,0,1
BL,1956,0,0,0,0,0,0,1,1
VD,1956,0,0,0,1,0,0,1,2
AG,1957,0,0,0,0,1,0,0,1
AR,1957,0,0,0,0,0,0,1,1
GL,1957,0,1,0,0,0,0,0,1
LU,1957,0,0,0,0,1,0,0,1
NE,1957,0,1,0,0,0,0,0,1
OW,1957,0,0,0,1,0,0,0,1
TI,1957,1,0,0,0,0,0,0,1
VD,1957,0,1,0,0,0,0,0,1
AI,1958,0,0,0,0,0,0,1,1
GR,1958,0,0,0,1,0,0,0,1
NE,1958,0,0,0,1,0,0,0,1
SZ,1958,0,0,0,2,0,0,0,2
TI,1958,0,1,0,0,0,0,0,1
AG,1959,0,2,0,0,0,0,1,3
AI,1959,0,1,0,0,0,0,0,1
AR,1959,0,0,0,1,0,0,0,1
BE,1959,0,1,0,0,0,0,0,1
NE,1959,0,1,0,0,0,0,0,1
OW,1959,0,1,0,0,0,1,1,3
SG,1959,1,0,0,0,0,0,0,1
SZ,1959,0,1,0,0,0,0,0,1
UR,1959,1,0,0,0,0,0,0,1
ZG,1959,0,1,0,0,0,0,0,1
AG,1960,0,0,0,1,0,0,0,1
AI,1960,0,0,0,0,0,1,0,1
BL,1960,0,0,0,1,0,0,0,1
GR,1960,1,0,0,0,0,0,0,1
OW,1960,0,0,0,0,1,0,0,1
SZ,1960,0,0,0,1,0,0,0,1
ZH,1960,1,0,0,0,0,0,0,1
BL,1961,0,0,0,1,0,0,0,1
GL,1961,1,0,0,0,0,0,0,1
GR,1961,2,0,0,0,0,0,0,2
NE,1961,0,1,0,0,0,0,0,1
NW,1961,0,1,0,0,0,0,0,1
SZ,1961,0,0,0,1,0,0,0,1
TI,1961,0,0,0,0,0,1,0,1
UR,1961,0,0,0,1,2,0,0,3
AI,1962,1,0,0,1,0,0,0,2
BS,1962,0,0,0,1,0,1,0,2
GR,1962,0,0,0,0,0,0,1,1
SZ,1962,0,0,0,1,0,1,0,2
BS,1963,0,0,0,0,0,1,0,1
NE,1963,0,1,0,0,0,0,0,1
OW,1963,0,0,0,1,0,0,0,1
SH,1963,1,0,0,0,1,0,0,2
VD,1963,0,1,0,0,0,0,0,1
ZG,1963,1,0,0,1,0,0,0,2
AG,1964,1,0,0,0,0,0,0,1
BE,1964,0,0,0,1,0,0,0,1
BS,1964,0,0,0,0,0,2,0,2
GL,1964,0,1,0,0,0,0,0,1
NW,1964,2,0,0,0,0,1,1,4
OW,1964,0,0,0,0,1,0,0,1
TI,1964,0,0,0,0,1,0,0,1
VD,1964,0,0,0,1,0,1,0,2
ZG,1964,0,1,0,0,1,0,0,2
AR,1965,0,1,0,0,0,0,0,1
BS,1965,0,0,0,0,0,1,0,1
GR,1965,0,0,2,0,0,1,0,3
NE,1965,0,2,1,0,0,0,0,3
NW,1965,1,0,0,0,0,0,0,1
SG,1965,1,0,0,0,0,1,0,2
SZ,1965,0,0,0,1,0,0,0,1
VD,1965,0,0,1,0,0,0,0,1
AG,1966,0,1,0,1,0,0,0,2
AI,1966,0,1,0,0,0,0,0,1
AR,1966,0,2,0,0,0,0,0,2
GL,1966,0,0,0,1,0,0,0,1
GR,1966,0,0,1,0,2,0,0,3
NE,1966,0,0,0,1,0,1,0,2
NW,1966,2,1,0,2,0,0,0,5
OW,1966,0,1,0,0,0,0,0,1
ZG,1966,0,1,0,1,0,0,0,2
AR,1967,0,0,0,0,0,1,0,1
BL,1967,1,0,0,0,0,1,0,2
BS,1967,0,0,0,0,0,1,0,1
FR,1967,1,0,0,0,0,0,0,1
NW,1967,0,0,0,1,0,0,0,1
OW,1967,0,0,0,0,1,0,0,1
SG,1967,0,1,0,0,0,0,0,1
SH,1967,0,0,0,0,0,1,0,1
SZ,1967,0,0,1,0,0,0,0,1
AG,1968,1,0,0,0,0,0,0,1
AI,1968,0,0,0,0,0,0,1,1
BS,1968,0,0,0,0,0,1,0,1
LU,1968,0,1,0,0,0,0,0,1
NE,1968,0,2,0,0,0,0,0,2
NW,1968,0,0,0,1,0,0,0,1
SG,1968,0,0,1,0,0,1,0,2
SH,1968,1,0,0,0,0,0,1,2
UR,1968,0,1,0,0,0,0,0,1
ZG,1968,0,0,0,0,0,1,0,1
AG,1969,0,0,0,1,0,0,0,1
AI,1969,1,0,0,0,0,0,0,1
FR,1969,3,0,0,0,0,0,0,3
GR,1969,0,0,1,0,0,0,0,1
LU,1969,2,0,0,0,0,0,0,2
NE,1969,0,0,1,0,0,0,0,1
OW,1969,0,1,0,0,0,0,0,1
SG,1969,0,0,1,0,0,0,0,1
SZ,1969,0,0,0,1,0,1,0,2
TI,1969,1,0,0,0,0,0,0,1
ZH,1969,1,0,0,0,0,0,0,1
AI,1970,0,0,1,0,0,0,0,1
BE,1970,0,0,0,1,0,0,0,1
BL,1970,0,0,0,1,0,0,0,1
FR,1970,1,0,0,0,0,0,0,1
GR,1970,1,0,0,0,0,0,0,1
NE,1970,0,0,0,1,0,0,0,1
OW,1970,1,0,0,0,0,0,1,2
SG,1970,0,0,0,1,0,0,0,1
SZ,1970,0,0,0,0,0,0,2,2
AG,1971,2,0,0,2,0,0,0,4
BE,1971,1,1,1,0,0,0,0,3
BL,1971,0,0,0,0,0,2,0,2
BS,1971,0,0,1,0,0,1,0,2
GR,1971,0,2,0,0,0,1,0,3
LU,1971,1,0,0,0,0,0,0,1
NE,1971,0,0,0,0,0,1,0,1
OW,1971,2,1,2,0,0,0,0,5
SG,1971,0,0,2,0,0,0,0,2
SH,1971,0,0,1,0,0,0,0,1
SZ,1971,0,0,1,0,0,0,0,1
TI,1971,0,0,0,0,0,1,1,2
UR,1971,0,1,0,0,1,0,0,2
VD,1971,0,1,0,0,1,0,0,2
AG,1972,0,0,0,1,0,1,0,2
BE,1972,0,1,0,1,0,0,0,2
FR,1972,2,0,0,0,0,0,0,2
GL,1972,1,0,0,0,0,0,0,1
GR,1972,0,0,1,1,0,0,0,2
NE,1972,0,1,0,0,0,0,0,1
NW,1972,0,0,0,0,1,0,0,1
OW,1972,0,0,1,1,0,0,1,3
SG,1972,0,1,0,0,0,1,1,3
SZ,1972,0,2,0,0,0,0,0,2
TI,1972,0,0,0,1,0,0,1,2
UR,1972,0,0,5,2,0,0,0,7
AG,1973,0,0,1,1,0,0,0,2
AI,1973,0,0,1,0,1,0,0,2
