# Swiss Law Collection — cantonal acts of type 'Parliamentary ordinance (decree)' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1869,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Mines",1
AG,1908,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Matériel scolaire",1
AG,1909,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Denrées alimentaires, objets d'usage courant.Surveillance des aliments",1
AG,1915,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1924,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,1928,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,1932,Etat,1
AG,1943,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Alcool",1
AG,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
AG,1944,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Offices de conciliation",1
AG,1948,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",1
AG,1948,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Caisses de compensation",1
AG,1955,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Homes.Foyers pour enfants et adolescents",1
AG,1957,Economie.Agriculture.Améliorations foncières,1
AG,1959,Droit pénal.Droit pénal des mineurs et procédure pénale des mineurs,1
AG,1959,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1959,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Homes.Foyers pour enfants et adolescents",1
AG,1960,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1964,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,1966,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,1966,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Homes.Foyers pour enfants et adolescents",1
AG,1968,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,1969,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1971,Etat.Autorités.Gouvernement et administration.Droit du personnel.Engagement,1
AG,1971,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AG,1971,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1971,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Routes.Routes nationales",1
AG,1972,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
