# Swiss Law Collection — cantonal acts of type 'Municipal act' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
BS,1857,1,0,0,0,0,0,0,1
BS,1876,1,0,0,0,0,0,0,1
BS,1906,1,0,0,0,0,0,0,1
BS,1912,0,0,0,1,0,0,0,1
BS,1925,1,1,0,0,0,0,0,2
BS,1930,0,0,0,1,0,0,0,1
BS,1948,1,0,0,0,0,0,0,1
BS,1950,1,0,0,0,0,0,0,1
BS,1955,1,0,0,1,0,0,0,2
BS,1956,1,0,0,0,0,0,0,1
BS,1957,0,0,0,1,0,0,0,1
BS,1967,1,0,0,0,0,0,0,1
BS,1971,1,0,0,0,0,0,0,1
BS,1973,1,0,0,0,0,0,0,1
BS,1974,0,0,0,2,0,0,0,2
BS,1975,2,0,0,1,0,0,0,3
BS,1978,2,0,0,0,0,0,0,2
BS,1980,0,0,0,1,0,0,0,1
BS,1981,3,0,0,1,2,0,0,6
BS,1982,0,1,0,0,0,0,0,1
BS,1983,0,0,0,1,0,0,0,1
BS,1984,1,2,0,0,0,0,0,3
BS,1985,8,0,0,0,0,0,0,8
BS,1986,6,0,0,0,0,0,0,6
BS,1989,1,0,1,0,0,0,0,2
BS,1990,5,0,0,0,0,0,0,5
BS,1991,0,0,0,1,0,0,0,1
BS,1992,2,0,0,1,0,0,0,3
BS,1993,1,0,2,3,0,1,0,7
BS,1994,2,0,3,0,0,0,0,5
BS,1995,1,0,3,1,0,0,0,5
BS,1996,3,0,0,1,0,0,0,4
BS,1997,2,2,1,0,0,1,0,6
BS,1998,1,0,0,0,0,0,0,1
BS,1999,6,0,1,0,0,0,0,7
BS,2000,0,1,0,0,0,0,0,1
BS,2001,2,1,0,0,0,0,0,3
BS,2002,7,3,1,2,0,0,0,13
BS,2003,5,1,1,0,0,0,0,7
BS,2004,2,3,0,0,0,0,0,5
BS,2005,3,0,2,0,1,0,0,6
BS,2006,0,0,1,3,0,0,0,4
BS,2007,2,3,0,2,0,0,0,7
BS,2008,2,2,0,3,0,0,0,7
BS,2009,3,0,6,1,0,0,0,10
BS,2010,3,0,1,2,0,0,0,6
BS,2011,2,1,0,0,0,0,0,3
BS,2012,4,3,0,0,0,1,0,8
BS,2013,2,0,0,1,0,0,0,3
BS,2014,4,1,0,1,0,0,0,6
BS,2015,0,0,0,3,0,0,0,3
BS,2016,2,0,1,0,0,0,0,3
BS,2017,0,0,0,3,0,0,0,3
BS,2019,0,0,1,1,0,0,0,2
BS,2020,1,0,0,0,0,0,0,1
BS,2021,1,0,0,0,0,0,0,1
BS,2022,1,0,0,0,0,0,0,1
BS,2023,1,0,1,0,0,0,0,2
BS,2024,1,0,1,1,0,0,0,3
BS,2025,1,0,0,0,0,0,0,1
BS,2026,2,0,0,0,0,0,0,2
