# Swiss Law Collection — cantonal acts of type 'Municipal act' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
BS,1857,Etat,1
BS,1876,"Etat.Communes.Bourgeoisies, allmends",1
BS,1906,"Etat.Communes.Bourgeoisies, allmends",1
BS,1912,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
BS,1925,Etat,1
BS,1925,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Protection de la jeunesse, aide à la jeunesse",1
BS,1930,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",2
BS,1947,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Plans",2
BS,1948,Etat.Dispositions générales.Armoiries,1
BS,1950,Etat.Dispositions générales.Territoire.Frontières,1
BS,1955,Etat.Dispositions générales.Territoire.Frontières,1
BS,1955,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
BS,1956,Etat.Dispositions générales.Territoire.Frontières,1
BS,1967,Etat,1
BS,1971,Etat,1
BS,1973,Etat,1
BS,1974,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Poste, télécommunications",2
BS,1975,Etat.Dispositions générales.Territoire.Frontières,2
BS,1975,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Poste, télécommunications",1
BS,1978,Etat,2
BS,1980,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Bâtiments et terrains publics",1
BS,1981,Etat,1
BS,1981,Etat.Dispositions générales.Territoire.Frontières,2
BS,1981,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Bâtiments et terrains publics",1
BS,1981,Economie.Forêt.Personnel forestier,1
BS,1981,"Economie.Commerce.Foires, marchés",1
BS,1982,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Inhumations, cimetières",1
BS,1983,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection contre le bruit",1
BS,1984,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
BS,1984,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Inhumations, cimetières",1
BS,1984,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
BS,1985,Etat,3
BS,1985,Etat.Dispositions générales.Constitution,3
BS,1985,"Etat.Communes.Bourgeoisies, allmends",2
BS,1986,Etat,4
BS,1986,"Etat.Communes.Bourgeoisies, allmends",2
BS,1989,Etat,1
BS,1989,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
BS,1990,"Etat.Communes.Bourgeoisies, allmends",5
BS,1991,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection de la nature",1
BS,1992,Etat,1
BS,1992,"Etat.Communes.Bourgeoisies, allmends",1
BS,1992,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
BS,1993,Etat,1
BS,1993,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Médecine scolaire, services psychologiques scolaires",2
BS,1993,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les chiens",1
BS,1993,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",3
BS,1994,Etat,1
BS,1994,"Etat.Professions juridiques.Notaires.Taxes, tarifs",1
BS,1994,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Médecine scolaire, services psychologiques scolaires",3
BS,1995,Etat.Autorités.Parlement.Indemnisation des parlementaires,1
BS,1995,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Médecine scolaire, services psychologiques scolaires",1
BS,1995,"Enseignement, sciences, documentation et culture.Documentation.Musées",1
BS,1995,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
BS,1995,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection du paysage",1
BS,1996,Etat,1
BS,1996,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.droits politiques.Elections et votations",1
BS,1996,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
BS,1996,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des monuments et des biens culturels",1
BS,1997,Etat,1
BS,1997,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.droits politiques.Elections et votations",1
BS,1997,"Enseignement, sciences, documentation et culture.Art, culture, sport.Sport",1
BS,1997,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les chiens",1
BS,1997,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Hôpitaux cantonaux",1
BS,1997,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Hygiène.Inhumations, cimetières",1
BS,1998,Etat,1
BS,1999,Etat,5
BS,1999,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
BS,1999,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
BS,2000,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Soins à domicile",1
BS,2001,Etat.Dispositions générales.Territoire.Frontières,1
BS,2001,Etat.Communes.Finances communales,1
BS,2001,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
BS,2002,Etat,4
BS,2002,Etat.Dispositions générales.Constitution,1
BS,2002,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.droits politiques.Elections et votations",1
BS,2002,Etat.Communes.Finances communales,1
BS,2002,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
BS,2002,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Poste, télécommunications",2
BS,2002,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Prestations complémentaires",1
