# Swiss Law Collection — cantonal acts of type 'Act' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
VS,1802,1,0,0,0,0,0,0,1
GE,1803,1,0,0,0,0,0,0,1
TI,1803,2,0,0,0,0,0,0,2
VD,1803,2,0,0,0,0,0,0,2
VD,1804,0,0,0,0,0,0,1,1
GE,1815,1,0,0,0,0,0,0,1
GE,1817,0,0,0,0,0,1,0,1
VD,1831,1,0,0,0,0,0,0,1
GL,1835,1,0,0,0,0,0,0,1
BE,1837,0,1,0,0,0,0,0,1
AG,1838,0,0,0,1,0,0,0,1
AG,1840,1,0,0,0,0,0,0,1
GE,1841,0,0,0,0,0,1,0,1
LU,1842,1,0,0,0,0,0,0,1
BS,1846,1,0,0,0,0,0,0,1
FR,1848,1,0,0,0,0,0,0,1
GE,1849,0,0,0,0,0,0,1,1
NE,1849,0,0,0,1,0,0,0,1
FR,1850,0,0,0,0,0,1,0,1
VS,1850,1,0,0,0,0,0,0,1
BL,1851,1,0,0,0,0,0,0,1
FR,1852,1,0,0,0,0,0,0,1
VS,1855,1,0,0,0,0,0,0,1
AG,1856,0,0,0,1,0,0,0,1
GE,1856,0,0,0,0,1,0,0,1
VS,1856,0,0,0,0,0,1,0,1
BE,1859,0,1,0,0,0,0,0,1
FR,1859,0,1,0,0,0,0,0,1
LU,1859,0,0,0,0,0,1,0,1
UR,1859,1,0,0,0,0,0,0,1
SH,1860,0,0,0,0,1,0,0,1
AG,1861,0,1,0,0,0,0,0,1
GE,1861,0,0,0,0,0,0,1,1
LU,1861,0,0,0,0,0,0,1,1
AG,1862,0,0,0,1,0,0,0,1
BS,1864,0,1,0,0,0,0,0,1
VS,1864,1,0,0,0,0,0,0,1
ZH,1866,0,0,0,0,0,0,1,1
BE,1868,0,0,0,0,0,1,0,1
FR,1868,0,1,0,0,0,0,0,1
GR,1870,0,0,0,1,0,0,0,1
SZ,1870,0,0,0,1,0,0,0,1
AG,1871,0,0,0,0,0,1,0,1
LU,1871,0,0,0,0,0,1,0,1
NE,1871,1,0,0,0,0,0,0,1
BS,1872,1,0,0,0,0,0,0,1
GE,1872,0,0,1,0,0,0,0,1
LU,1872,1,0,0,0,0,0,0,1
