# Swiss Law Collection — cantonal acts of type 'Act' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1838,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1840,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",1
AG,1856,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AG,1861,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Dimanches et jours fériés",1
AG,1862,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1871,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les chiens",1
AG,1873,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
AG,1911,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Partenariat enregistré",1
AG,1911,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1919,"Enseignement, sciences, documentation et culture.Contributions à la formation.Ecolages",1
AG,1934,"Finances, Impôts, monopoles, entreprises d'état",1
AG,1939,Etat.Autorités.Responsabilité de l'état,1
AG,1942,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Allocations familiales.Salariés et indépendants",1
AG,1944,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1944,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Offices de conciliation",1
AG,1951,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Tuberculose",1
AG,1954,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AG,1955,"Défense nationale, protection de la population, police.Sécurité intérieure.Police.Police cantonale",1
AG,1958,Droit pénal.Procédure pénale.Codes de procédure pénale,1
AG,1963,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Allocations familiales.Salariés et indépendants",1
AG,1964,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
AG,1965,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1966,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Prestations complémentaires",1
AG,1968,Etat.Autorités.Gouvernement et administration.Procédure administrative,1
AG,1968,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
AG,1968,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AG,1969,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1969,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Corrections des eaux / Protection contre les crues",1
AG,1969,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des animaux",1
AG,1969,"Santé, travail, droit des assurances sociales, logement, homes.Logement.Mesures d'encouragement à la construction de logements",1
AG,1971,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Protection contre le feu, pompiers",1
AG,1971,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1973,"Finances, Impôts, monopoles, entreprises d'état.Entreprises d'Etat.Banques cantonales",1
AG,1975,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1977,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,1978,"Etat.Communes.Bourgeoisies, allmends",1
AG,1978,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de médecine humaine et vétérinaire",1
AG,1980,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1980,"Enseignement, sciences, documentation et culture",1
AG,1980,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,1981,"Enseignement, sciences, documentation et culture.Degré prescolaire, école primaire, degré secondaire I.Ecole enfantine",1
AG,1982,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Aide sociale",1
AG,1983,Etat,1
AG,1983,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.droits politiques.Récusation, incompatibilité",1
AG,1983,"Enseignement, sciences, documentation et culture",1
AG,1983,"Défense nationale, protection de la population, police",1
AG,1983,"Finances, Impôts, monopoles, entreprises d'état",1
AG,1984,Etat,1
AG,1984,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1984,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1985,Etat,1
AG,1986,Etat.Autorités.Parlement.Indemnisation des parlementaires,1
AG,1987,Droit civil.Dispositions d'introduction du code civil.Droits réels.Acquisitions des terrains par des personnes domiciliées à l'étranger,1
AG,1987,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1988,Etat.Autorités.Parlement.Election du parlement,1
