# Swiss Law Collection — cantonal acts of type 'Intercantonal agreement' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GE,1564,1,0,0,0,0,0,0,1
AG,1632,0,0,0,3,0,0,0,3
FR,1632,0,0,0,0,0,1,0,1
NW,1632,0,0,0,0,0,1,0,1
SG,1632,0,7,0,0,0,0,0,7
ZH,1632,0,0,0,0,0,1,0,1
GE,1726,1,0,0,0,0,0,0,1
SO,1780,0,0,0,1,0,0,0,1
SZ,1824,1,0,0,0,0,0,0,1
BE,1828,2,0,0,0,0,0,0,2
BL,1828,2,0,0,0,0,0,0,2
BS,1828,1,0,0,0,0,0,0,1
SO,1828,2,0,0,0,0,0,0,2
TG,1828,1,0,0,0,0,0,0,1
ZG,1828,1,0,0,0,0,0,0,1
SO,1830,1,0,0,0,0,0,0,1
BL,1834,1,0,0,0,0,0,0,1
SZ,1840,0,1,0,0,0,0,0,1
SZ,1841,0,0,0,1,0,1,0,2
ZH,1841,1,0,0,2,0,0,0,3
TG,1846,1,0,0,0,0,0,0,1
ZH,1846,1,0,0,0,0,0,0,1
AI,1848,1,0,0,0,0,0,0,1
NW,1850,0,0,0,0,0,0,1,1
BE,1851,1,0,0,0,0,0,0,1
SO,1851,1,0,0,0,0,0,0,1
SZ,1858,0,0,0,1,0,0,0,1
BS,1863,1,0,0,0,0,0,0,1
TG,1869,1,0,0,0,0,0,0,1
SG,1870,3,0,0,0,0,0,0,3
TG,1870,1,0,0,0,0,0,0,1
ZH,1870,3,0,0,0,0,0,0,3
OW,1874,0,0,0,1,0,0,0,1
TG,1886,2,0,0,0,0,0,0,2
ZH,1886,1,0,0,0,0,0,0,1
ZH,1887,0,0,0,0,0,1,0,1
SO,1888,0,0,0,0,0,1,0,1
AG,1889,0,1,0,0,0,0,0,1
AI,1889,0,0,1,0,0,0,0,1
BE,1889,1,0,0,0,0,0,0,1
FR,1889,1,0,0,0,0,0,0,1
GL,1889,0,0,0,0,0,0,1,1
JU,1889,1,0,0,0,0,0,0,1
NE,1889,0,0,0,0,0,0,1,1
SO,1889,0,0,0,0,0,0,1,1
TG,1889,1,0,0,0,0,0,0,1
UR,1889,0,0,0,0,0,0,1,1
