# Swiss Law Collection — cantonal acts of type 'Intercantonal agreement' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1632,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",2
AG,1632,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Contrôle technique des véhicules",1
AG,1889,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1894,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",2
AG,1901,"Droit civil.Procédure civile.Emoluments, frais",1
AG,1922,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",2
AG,1928,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1930,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1932,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1937,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
AG,1948,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Interdiction des arrangements fiscaux",1
AG,1949,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",2
AG,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Funiculaires, téléphériques, téléskis",1
AG,1955,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pétrole",1
AG,1956,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",2
AG,1959,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1964,Economie.Agriculture.Formation agricole.Ecole agricole,1
AG,1967,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Circulation routière.Police de la circulation",1
AG,1969,Droit civil.Arbitrage,1
AG,1969,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1970,"Enseignement, sciences, documentation et culture.Assurance de la qualité, surveillance, direction.Coordination",1
AG,1971,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1972,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
AG,1973,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1973,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
AG,1975,Droit civil.Procédure civile.Entraide judiciaire,1
AG,1975,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1976,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,1976,Economie.Agriculture.Formation agricole.Ecole agricole,1
AG,1978,Etat,1
AG,1978,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1981,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
AG,1982,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1985,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
AG,1989,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
AG,1989,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1990,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
AG,1991,"Défense nationale, protection de la population, police.Douanes.Protection des frontières",1
AG,1991,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1991,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports régionaux",1
AG,1991,Economie.Agriculture.Epizooties,1
AG,1992,Droit pénal.Procédure pénale.Entraide judiciaire,1
AG,1993,"Enseignement, sciences, documentation et culture.Formation continue (Degré quaternaire).Formation des adultes",1
AG,1994,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",3
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1995,"Enseignement, sciences, documentation et culture.Reconnaissance des diplômes",1
