# Swiss Law Collection — all cantonal acts: instrument type × canton × enactment year × legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
instrument_type,canton,year,domain,count
anderes,NW,1787,etat,1
anderes,GL,1800,fin,1
anderes,SO,1802,autres,1
anderes,SO,1802,educ,1
anderes,AG,1803,etat,1
anderes,SO,1803,etat,3
anderes,TG,1803,etat,1
anderes,VD,1803,etat,3
anderes,GL,1807,educ,1
anderes,GE,1815,autres,1
anderes,SO,1828,etat,1
anderes,BL,1829,etat,1
anderes,SO,1830,etat,2
anderes,AG,1832,sante,1
anderes,FR,1832,etat,1
anderes,NE,1832,sante,1
anderes,BL,1836,etat,1
anderes,FR,1848,etat,1
anderes,GL,1859,educ,1
anderes,NE,1864,sante,1
anderes,FR,1866,etat,1
anderes,NE,1866,etat,1
anderes,FR,1867,etat,1
anderes,LU,1868,infra,1
anderes,UR,1869,etat,1
anderes,BL,1870,infra,1
anderes,GL,1872,infra,1
anderes,FR,1873,etat,1
anderes,NE,1874,autres,1
anderes,SO,1874,etat,2
anderes,SO,1875,etat,1
anderes,BS,1876,etat,2
anderes,FR,1879,etat,1
anderes,NE,1879,etat,1
anderes,FR,1880,sante,1
anderes,ZH,1880,infra,1
anderes,AR,1881,etat,1
anderes,BL,1881,sante,1
anderes,BS,1882,educ,1
anderes,NE,1887,infra,1
anderes,NE,1888,eco,1
anderes,VS,1891,infra,1
anderes,AR,1896,educ,1
anderes,VD,1897,fin,1
anderes,SO,1898,fin,1
anderes,FR,1899,educ,2
anderes,SO,1899,etat,1
anderes,VD,1899,sante,1
anderes,BS,1900,infra,1
anderes,NE,1900,etat,3
anderes,GL,1901,autres,1
anderes,SH,1902,infra,1
anderes,SZ,1902,infra,1
anderes,VD,1903,infra,1
anderes,ZG,1904,infra,1
anderes,GL,1906,eco,1
anderes,GL,1906,infra,1
anderes,ZH,1906,etat,1
anderes,BS,1907,etat,1
anderes,NE,1907,autres,2
anderes,NE,1907,etat,1
anderes,SO,1907,sante,1
anderes,NE,1908,educ,3
anderes,SO,1908,fin,1
anderes,NE,1909,etat,1
anderes,SO,1909,autres,1
anderes,SO,1909,educ,1
anderes,SO,1909,fin,2
anderes,AG,1910,educ,1
anderes,GL,1910,infra,1
anderes,NE,1910,autres,2
anderes,ZH,1910,educ,1
anderes,BE,1911,infra,3
anderes,NE,1911,autres,2
anderes,NE,1911,eco,1
anderes,NE,1911,etat,1
anderes,NE,1911,sante,19
anderes,SO,1911,autres,1
anderes,SO,1911,etat,1
anderes,NE,1912,eco,2
anderes,NE,1912,fin,1
anderes,SO,1912,fin,1
anderes,SO,1912,sante,1
anderes,GR,1913,autres,1
anderes,GR,1913,infra,1
anderes,NE,1913,etat,1
anderes,NE,1914,etat,1
anderes,SH,1914,infra,1
anderes,SO,1914,sante,1
anderes,ZH,1914,educ,1
anderes,GL,1915,autres,1
anderes,SH,1915,infra,1
anderes,SO,1915,etat,1
anderes,ZH,1915,educ,1
anderes,FR,1917,autres,1
anderes,FR,1917,infra,1
anderes,FR,1918,autres,1
anderes,GL,1918,infra,1
anderes,TI,1918,sante,1
anderes,BS,1919,infra,1
anderes,NE,1919,educ,1
anderes,BL,1920,autres,1
anderes,FR,1920,etat,1
anderes,NE,1920,educ,1
anderes,NE,1920,fin,1
anderes,SO,1920,etat,1
anderes,ZH,1920,autres,1
anderes,AG,1921,autres,1
anderes,BS,1921,eco,1
anderes,SO,1921,eco,1
anderes,SO,1921,etat,1
anderes,ZH,1921,autres,1
anderes,BS,1922,infra,2
anderes,VS,1922,educ,2
anderes,ZH,1922,etat,1
anderes,BE,1923,sante,1
anderes,GL,1923,etat,1
anderes,NE,1923,eco,1
anderes,SO,1923,infra,1
anderes,VS,1923,autres,1
anderes,BE,1924,etat,1
anderes,FR,1924,etat,1
anderes,FR,1924,fin,1
anderes,NE,1924,etat,1
anderes,SO,1924,autres,1
anderes,SO,1924,educ,1
anderes,VS,1924,infra,1
anderes,AI,1925,sante,2
anderes,AR,1925,sante,1
anderes,BS,1925,educ,1
anderes,BS,1925,infra,1
anderes,BS,1925,sante,1
anderes,NE,1925,sante,1
anderes,VD,1925,eco,1
anderes,VD,1925,etat,1
anderes,VD,1925,fin,1
anderes,FR,1926,sante,1
anderes,SO,1926,etat,2
anderes,BS,1927,etat,1
anderes,SH,1927,autres,1
anderes,BS,1928,eco,1
anderes,FR,1928,fin,1
anderes,GL,1928,infra,3
anderes,FR,1929,eco,1
anderes,SO,1929,autres,1
anderes,SO,1929,educ,2
anderes,TI,1929,etat,1
anderes,VD,1929,sante,2
anderes,ZG,1929,infra,1
anderes,ZH,1929,infra,1
anderes,BS,1930,infra,2
anderes,BS,1930,sante,1
anderes,FR,1930,sante,1
anderes,NE,1930,educ,1
anderes,SH,1930,autres,1
anderes,SO,1930,autres,1
anderes,SO,1930,etat,1
anderes,SZ,1930,infra,1
anderes,VD,1930,fin,2
anderes,ZH,1930,infra,1
anderes,BE,1931,etat,1
anderes,BS,1931,educ,1
anderes,FR,1931,infra,1
anderes,LU,1931,infra,1
anderes,SO,1931,autres,1
