# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and legal domain
# counting_unit: published_copies — one count per canton whose collection publishes the act; this is the unit the site's year chart uses, so the two agree for any year
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
BE,1562,0,0,1,0,0,0,0,1
GE,1858,0,0,0,0,0,0,1,1
LU,1867,0,0,0,1,0,0,0,1
OW,1878,0,0,0,0,1,0,0,1
GE,1889,0,0,0,0,0,0,1,1
VD,1891,0,0,0,0,0,1,0,1
GE,1892,0,0,0,0,1,0,0,1
GE,1893,0,0,0,0,0,1,0,1
VD,1893,0,1,0,0,0,0,0,1
VD,1894,0,0,0,0,1,0,0,1
GE,1895,0,0,0,0,1,0,0,1
BE,1899,1,0,0,0,0,0,0,1
GE,1901,0,0,1,0,0,0,0,1
GE,1903,0,0,0,1,0,0,0,1
GE,1907,0,0,0,0,0,0,1,1
GR,1908,0,0,1,0,0,0,0,1
NE,1908,0,0,1,0,0,0,0,1
NE,1909,0,0,0,0,1,0,0,1
SO,1909,0,0,1,0,0,0,0,1
UR,1911,0,0,0,0,0,0,1,1
VD,1911,0,0,0,1,0,0,0,1
VS,1912,0,0,0,0,0,0,1,1
BS,1913,1,0,0,0,0,0,0,1
BE,1917,0,0,1,0,0,0,0,1
GE,1918,0,1,0,0,0,0,0,1
NE,1923,0,0,0,0,1,0,0,1
TI,1924,1,0,0,0,0,0,0,1
VD,1924,0,1,0,0,0,0,0,1
GE,1925,1,1,0,0,0,0,0,2
NE,1925,0,1,0,0,0,0,0,1
VD,1926,0,0,0,1,0,0,0,1
NE,1927,1,0,0,0,0,0,0,1
GE,1928,1,0,0,0,0,1,0,2
GE,1929,2,0,0,0,0,0,0,2
GE,1930,0,0,0,1,1,0,0,2
VD,1930,0,0,0,0,0,1,0,1
BE,1931,0,0,1,0,0,0,0,1
GE,1931,1,0,0,0,0,0,0,1
BL,1934,0,0,0,0,0,0,1,1
GE,1934,1,1,0,0,1,0,1,4
GE,1935,0,0,0,1,0,0,0,1
LU,1935,0,0,0,0,0,0,1,1
NE,1935,0,0,0,0,0,1,0,1
TI,1935,0,0,0,0,0,0,1,1
NE,1936,0,0,0,0,1,0,0,1
VD,1936,0,0,0,0,0,0,1,1
VS,1936,0,1,0,0,0,0,0,1
GE,1937,0,0,0,0,0,1,0,1
NE,1937,0,0,0,0,0,0,1,1
VS,1937,0,0,0,0,1,0,2,3
SZ,1938,0,1,0,0,0,0,0,1
BE,1939,0,0,1,0,0,0,0,1
VS,1939,0,0,0,0,1,0,0,1
GE,1940,0,1,0,0,0,1,0,2
LU,1940,0,0,1,0,0,0,0,1
GE,1941,0,0,0,0,0,0,1,1
BE,1942,0,0,1,0,0,0,0,1
GE,1942,0,0,0,0,2,0,2,4
GE,1943,0,0,0,0,1,0,1,2
NE,1943,0,0,0,0,1,0,0,1
SO,1943,0,1,0,0,0,0,0,1
VD,1943,0,0,0,0,1,0,0,1
VS,1943,0,0,0,0,1,0,0,1
GE,1944,1,0,0,0,0,0,0,1
NW,1944,0,0,0,0,1,0,0,1
SG,1944,0,0,0,0,1,0,0,1
TI,1944,0,0,0,1,0,0,0,1
VD,1944,1,0,0,0,0,0,0,1
VS,1944,0,0,1,0,0,0,0,1
ZH,1944,0,0,0,0,1,0,0,1
GE,1945,1,1,0,0,0,0,0,2
NE,1945,0,1,1,0,0,0,1,3
SH,1945,0,0,0,0,0,1,0,1
VD,1945,0,0,0,0,0,1,0,1
BS,1946,0,0,1,0,0,0,0,1
GE,1946,2,0,0,0,1,0,0,3
NE,1946,0,2,0,0,0,0,0,2
VD,1946,1,0,0,0,0,0,0,1
GE,1947,0,0,0,0,0,1,0,1
OW,1947,0,0,0,0,1,0,0,1
GE,1948,0,0,0,1,0,0,0,1
GL,1948,0,1,0,0,0,0,0,1
NE,1948,0,1,1,0,0,0,0,2
UR,1948,0,1,0,0,0,0,0,1
NE,1949,0,0,0,0,1,0,0,1
NW,1949,0,1,0,0,0,0,0,1
SG,1949,0,0,0,1,0,0,0,1
VS,1949,0,1,0,0,0,0,0,1
GE,1950,0,0,0,0,1,0,0,1
GE,1951,0,0,0,1,0,0,1,2
SG,1951,1,0,0,0,0,0,0,1
VS,1951,0,1,0,1,0,0,0,2
ZH,1951,1,0,0,0,0,0,0,1
GE,1952,1,1,1,0,2,0,1,6
VD,1952,1,0,0,0,0,0,0,1
GE,1953,3,0,0,1,0,0,0,4
SO,1953,1,0,0,0,0,0,0,1
AG,1954,0,0,0,1,0,0,0,1
BL,1954,1,0,0,0,0,0,0,1
GE,1954,0,0,1,0,0,0,0,1
SO,1954,0,0,0,1,0,0,0,1
SZ,1954,0,0,0,1,0,0,0,1
UR,1954,0,0,0,1,0,0,0,1
VD,1954,0,0,0,0,0,1,0,1
VS,1954,0,0,0,0,0,1,0,1
BS,1955,1,0,0,0,0,0,0,1
GE,1955,2,1,2,0,0,0,0,5
VD,1955,0,0,0,1,0,0,0,1
ZH,1955,1,0,0,0,0,0,0,1
BS,1956,1,1,0,0,0,0,0,2
GE,1956,3,1,1,0,1,0,0,6
GE,1957,1,0,0,0,0,0,0,1
SO,1957,1,0,0,0,0,0,0,1
VD,1957,1,1,0,0,1,0,0,3
GE,1958,2,0,1,0,0,3,0,6
TI,1958,0,2,0,0,0,0,2,4
VD,1958,1,0,0,0,0,0,0,1
VS,1958,0,0,0,1,0,0,0,1
BE,1959,1,1,0,0,0,0,0,2
FR,1959,0,1,0,0,0,0,0,1
GE,1959,1,0,0,0,0,0,1,2
NE,1959,0,1,0,0,1,0,0,2
GE,1960,0,0,0,0,0,0,1,1
ZH,1960,0,1,1,0,0,0,0,2
AG,1961,0,0,0,0,1,0,0,1
BS,1961,0,0,1,0,0,0,0,1
GE,1961,2,1,0,1,0,0,0,4
NE,1961,0,0,1,0,0,0,0,1
TG,1961,0,1,0,0,0,0,0,1
TI,1961,0,1,0,0,0,0,0,1
VD,1961,0,1,0,0,1,0,1,3
ZH,1961,1,0,0,0,0,0,1,2
GE,1962,2,0,0,0,0,0,0,2
NE,1962,0,1,0,0,0,0,0,1
