# Swiss Law Collection — cantonal acts of type 'Regulation' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1954,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Funiculaires, téléphériques, téléskis",1
AG,1961,Economie.Agriculture.Améliorations foncières,1
AG,1970,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1987,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Aménagement du territoire et constructions.Places de parking",1
AG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Electricité",3
AG,1995,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Electricité",1
AG,1996,"Finances, Impôts, monopoles, entreprises d'état",2
AG,1997,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",3
AG,1997,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AG,1997,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",1
AG,1998,Etat.Autorités.Gouvernement et administration.Droit du personnel.Engagement,1
AG,1999,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",2
AG,2000,"Finances, Impôts, monopoles, entreprises d'état.Entreprises d'Etat.Banques cantonales",1
AG,2002,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2002,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",2
AG,2004,"Enseignement, sciences, documentation et culture",1
AG,2005,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2007,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2007,"Finances, Impôts, monopoles, entreprises d'état.Entreprises d'Etat.Banques cantonales",1
AG,2007,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.LPP",1
AG,2008,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2008,"Finances, Impôts, monopoles, entreprises d'état.Entreprises d'Etat.Banques cantonales",1
AG,2009,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
AG,2009,"Enseignement, sciences, documentation et culture.Documentation.Musées",5
AG,2009,"Enseignement, sciences, documentation et culture.Art, culture, sport.Encouragement à la culture",1
AG,2009,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de la nature et du paysage.Protection des monuments et des biens culturels",5
AG,2009,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AG,2011,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",2
AG,2012,Etat,1
AG,2012,"Etat.Dispositions générales.Droits fondamentaux, droits politiques.égalité entre hommes et femmes",1
AG,2012,"Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Prud'hommes, Tribunaux des baux à loyer",1
AG,2012,Etat.Professions juridiques.Avocats.Formation,1
AG,2012,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
AG,2012,"Défense nationale, protection de la population, police.Protection de la population.Protection contre les incendies / éléments naturels.Assurances des bâtiments.Assurance contre les dommages causés par les éléments naturels",2
AG,2013,Etat,1
AG,2013,"Droit civil.Dispositions d'introduction du code civil.Droit des personnes, état civil.Fondations, surveillance.Fondations LPP",1
AG,2013,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AG,2014,Etat,1
AG,2014,Etat.Autorités.Gouvernement et administration.Droit du personnel.Engagement,1
AG,2015,"Finances, Impôts, monopoles, entreprises d'état.Entreprises d'Etat.Banques cantonales",1
AG,2016,Etat.Dispositions générales.Information du public,1
AG,2016,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
AG,2017,Etat.Dispositions générales.Information du public,1
AG,2017,"Finances, Impôts, monopoles, entreprises d'état",1
AG,2017,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.AVS/AI",1
AG,2021,"Finances, Impôts, monopoles, entreprises d'état.Entreprises d'Etat.Banques cantonales",1
AG,2023,"Enseignement, sciences, documentation et culture.Documentation.Bibliothèques",1
AI,1994,Non classé,1
AI,2002,Etat.Professions juridiques.Avocats.Formation,1
AI,2003,Non classé,1
AI,2006,Etat.Dispositions générales.Information du public,1
AI,2010,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Hôpitaux cantonaux",1
AI,2017,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
AI,2017,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Formation, formation continue, perfectionnement",1
AI,2021,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Etablissements hospitaliers, cliniques.Hôpitaux cantonaux",1
AI,2021,Non classé,1
AR,1987,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Naturopathes",1
AR,1993,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Dentistes",1
AR,2000,Economie.Agriculture.Mesures d'encouragement,1
AR,2007,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Traitements, indemnités",1
AR,2007,"Etat.Autorités.Gouvernement et administration.Droit du personnel.Pensions, prestations d'assurance",1
AR,2010,"Enseignement, sciences, documentation et culture.Documentation.Archives",1
BE,1562,"Enseignement, sciences, documentation et culture.Contributions à la formation.Bourses d'études",1
BE,1899,Etat.Autorités.Gouvernement et administration.Gouvernement.Préfets,1
