# Swiss Law Collection — cantonal acts of type 'International treaty' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GE,1749,1,0,0,0,0,0,0,1
BS,1756,0,0,0,1,0,0,0,1
FR,1808,0,0,0,0,0,0,1,1
BL,1815,1,0,0,0,0,0,0,1
GE,1815,2,0,0,0,0,0,0,2
GE,1816,1,0,0,0,0,0,0,1
SZ,1824,1,0,0,0,0,0,0,1
BS,1825,0,1,0,0,0,0,0,1
GE,1825,1,0,0,0,0,0,0,1
OW,1825,0,0,0,0,0,0,1,1
SO,1825,1,0,0,0,0,0,1,2
TG,1825,0,1,0,0,0,0,0,1
VD,1825,0,0,0,0,0,0,1,1
ZG,1825,0,0,0,0,0,0,1,1
ZH,1825,0,0,0,0,0,0,1,1
FR,1826,0,0,0,0,0,0,1,1
AG,1828,2,0,0,0,0,0,0,2
BL,1828,1,0,0,0,0,0,0,1
BS,1828,1,0,0,0,0,0,0,1
SH,1828,1,0,0,0,0,0,0,1
SO,1828,1,0,0,0,0,0,0,1
TG,1828,1,0,0,0,0,0,0,1
ZG,1828,1,0,0,0,0,0,0,1
TG,1829,1,0,0,0,0,0,0,1
TG,1831,1,0,0,0,0,0,0,1
BS,1834,0,1,0,0,0,0,0,1
FR,1834,0,0,0,0,0,0,1,1
GE,1834,1,0,0,0,0,0,0,1
OW,1834,0,0,0,0,0,0,1,1
SO,1834,0,0,0,0,0,0,1,1
TG,1834,0,1,0,0,0,0,0,1
VD,1834,0,0,0,0,0,0,1,1
ZG,1834,0,0,0,0,0,0,1,1
ZH,1834,0,0,0,0,0,0,1,1
FR,1837,0,0,0,0,0,0,1,1
SO,1837,0,0,0,0,0,0,1,1
NW,1842,0,0,0,0,0,0,1,1
SZ,1842,1,0,0,0,0,0,0,1
SG,1845,1,0,0,0,0,0,0,1
BS,1852,0,0,0,1,0,0,0,1
BS,1853,0,0,0,1,0,0,0,1
NE,1857,1,0,0,0,0,0,0,1
BS,1860,0,0,0,1,0,0,0,1
BE,1864,1,0,0,0,0,0,0,1
BS,1870,0,0,0,1,0,0,0,1
SH,1878,0,0,0,1,0,0,0,1
TI,1884,1,0,0,0,0,0,0,1
VD,1885,0,0,0,0,0,0,1,1
BS,1886,0,1,0,0,0,0,0,1
BS,1894,0,0,0,1,0,0,0,1
BS,1900,0,0,0,1,0,0,0,1
SO,1903,0,0,0,0,0,1,0,1
BS,1909,0,0,0,1,0,0,0,1
SH,1909,0,0,0,1,0,0,0,1
BS,1910,0,0,0,1,0,0,0,1
BS,1911,0,0,0,1,0,0,0,1
BS,1922,0,0,0,1,0,0,0,1
BS,1926,0,0,0,1,0,0,0,1
SO,1926,0,0,0,1,0,0,0,1
SO,1928,0,0,0,0,0,1,0,1
ZG,1928,0,0,0,0,0,1,0,1
SO,1930,0,0,0,1,0,0,0,1
TG,1934,0,0,0,0,0,1,0,1
NE,1935,0,0,0,0,0,0,1,1
SO,1947,0,0,0,0,0,1,0,1
BS,1949,0,0,0,1,0,0,0,1
SH,1950,1,0,0,0,0,0,0,1
BS,1953,0,0,0,1,0,0,0,1
GE,1953,1,0,0,0,0,0,0,1
SG,1953,0,1,0,0,0,0,0,1
FR,1957,0,0,0,0,0,1,0,1
GR,1957,0,0,0,0,0,1,0,1
SG,1957,0,0,0,0,0,1,0,1
VD,1958,0,0,0,1,0,0,0,1
SO,1959,0,1,0,0,0,0,0,1
SH,1964,2,0,0,0,0,0,0,2
BS,1965,0,0,0,1,0,0,0,1
GR,1968,0,0,1,0,0,0,0,1
SG,1968,0,0,1,0,0,0,0,1
TI,1968,1,0,0,0,0,0,0,1
BS,1970,0,0,0,1,0,0,0,1
GE,1973,1,0,0,0,0,1,0,2
GR,1975,0,0,0,0,0,1,0,1
AG,1976,0,0,0,1,0,0,0,1
SH,1976,0,0,0,1,0,0,0,1
VD,1976,0,0,0,1,0,0,0,1
BS,1977,0,0,0,1,0,0,0,1
BS,1978,0,0,0,1,0,0,0,1
SG,1978,0,0,1,0,0,0,0,1
SH,1978,1,0,0,0,0,0,0,1
TG,1978,1,0,0,0,0,0,0,1
AG,1979,0,0,0,0,0,1,0,1
BS,1979,0,0,0,0,0,1,0,1
JU,1979,0,0,0,0,0,1,0,1
SG,1979,0,0,0,0,0,1,0,1
TG,1979,0,0,0,0,0,1,0,1
VS,1979,0,0,0,0,0,1,0,1
ZH,1979,0,0,0,0,0,1,0,1
GE,1980,0,0,0,0,0,0,1,1
VD,1980,0,0,0,0,0,1,0,1
VS,1980,0,0,0,0,0,1,0,1
SG,1981,0,0,1,0,0,0,0,1
BE,1983,0,0,1,0,0,0,0,1
BL,1983,0,0,0,0,0,1,0,1
BS,1983,1,0,0,2,0,0,0,3
JU,1983,0,0,0,0,2,1,0,3
SO,1983,0,0,0,0,0,1,0,1
VD,1983,0,0,0,0,0,0,1,1
VS,1983,0,0,0,0,0,1,0,1
SG,1984,0,0,1,0,0,0,0,1
SH,1984,1,0,0,0,0,0,0,1
FR,1985,0,0,1,0,0,0,0,1
BS,1987,1,0,0,0,0,0,0,1
SG,1988,0,1,0,1,0,0,0,2
BS,1990,1,0,0,0,0,0,0,1
JU,1990,1,0,0,0,10,0,0,11
BS,1992,0,0,0,1,0,0,0,1
JU,1992,0,0,0,0,3,0,0,3
JU,1993,0,0,0,0,3,0,0,3
SG,1994,0,0,0,1,0,0,0,1
JU,1995,0,0,0,0,1,0,0,1
AG,1996,1,0,0,0,0,0,0,1
BE,1996,1,0,0,0,0,0,0,1
BL,1996,1,0,0,0,0,0,0,1
BS,1996,1,0,0,1,0,0,0,2
JU,1996,0,0,0,0,3,0,0,3
SH,1996,1,0,0,0,0,0,0,1
SO,1996,2,0,0,0,0,0,0,2
VD,1996,1,0,0,0,0,0,0,1
VS,1996,1,0,0,0,0,0,0,1
BL,1997,1,0,0,1,0,0,0,2
BS,1997,0,0,0,1,0,0,0,1
JU,1997,0,0,0,0,1,0,0,1
SO,1997,1,0,0,0,0,0,0,1
SG,1999,0,0,0,0,0,1,0,1
BS,2000,1,0,0,0,0,0,0,1
JU,2000,0,0,0,0,1,0,0,1
JU,2001,0,0,0,0,2,0,0,2
VD,2001,1,0,0,0,0,0,0,1
JU,2002,0,0,0,0,1,0,0,1
BS,2003,0,0,0,2,0,0,0,2
BE,2005,1,0,0,0,0,0,0,1
JU,2006,0,0,0,0,0,1,0,1
SG,2012,0,0,1,0,0,0,0,1
VD,2012,1,0,0,0,0,0,0,1
SH,2017,0,1,0,0,0,0,0,1
SG,2019,0,0,1,0,0,0,0,1
JU,2025,1,0,0,0,0,0,0,1
