# Swiss Law Collection — cantonal acts of type 'International treaty' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1828,Etat.Eglise et Etat.Eglise catholique romaine,2
AG,1976,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1979,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
AG,1996,Etat,1
BE,1864,Etat.Eglise et Etat.Eglise catholique romaine,1
BE,1983,"Enseignement, sciences, documentation et culture",1
BE,1996,Etat,1
BE,2005,Etat,1
BL,1815,Etat.Eglise et Etat.Eglise catholique romaine,1
BL,1828,Etat.Eglise et Etat.Eglise catholique romaine,1
BL,1983,"Finances, Impôts, monopoles, entreprises d'état",1
BL,1996,Etat,1
BL,1997,Etat,1
BL,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Navigation aérienne.Aéroports",1
BS,1756,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
BS,1825,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1828,Etat.Eglise et Etat.Eglise catholique romaine,1
BS,1834,"Santé, travail, droit des assurances sociales, logement, homes",1
BS,1852,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1853,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1860,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1870,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1886,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Epidémies, pandémies",1
BS,1894,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
BS,1900,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1909,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
BS,1910,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1911,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
BS,1922,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1926,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Corrections des eaux / Protection contre les crues",1
BS,1949,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Navigation aérienne.Aéroports",1
BS,1953,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Transports publics.Transports ferroviaires",1
BS,1965,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Navigation aérienne.Aéroports",1
BS,1970,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
BS,1977,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Routes.Routes nationales",1
BS,1978,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Routes.Routes nationales",1
BS,1979,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
BS,1983,Etat,1
BS,1983,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",2
BS,1987,"Défense nationale, protection de la population, police",1
BS,1990,"Défense nationale, protection de la population, police",1
BS,1992,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
BS,1996,Etat,1
BS,1996,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
BS,1997,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Navigation aérienne.Aéroports",1
BS,2000,Etat,1
BS,2003,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Bâtiments et terrains publics",1
BS,2003,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Déchets",1
FR,1808,Droit civil,1
FR,1826,Droit civil,1
FR,1834,Droit civil,1
FR,1837,Droit civil,1
FR,1957,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
FR,1985,"Enseignement, sciences, documentation et culture.Degré tertiaire: universités.Faculté de théologie",1
GE,1749,Etat.Dispositions générales.Territoire.Frontières,1
GE,1815,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",2
GE,1816,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",1
GE,1825,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",1
GE,1834,"Etat.Dispositions générales.Territoire.Délimitations territoriales, districts",1
GE,1953,Etat.Dispositions générales.Territoire.Frontières,1
GE,1973,Etat.Dispositions générales.Collaboration intercantonale,1
GE,1973,"Finances, Impôts, monopoles, entreprises d'état",1
GE,1980,Non classé,1
GR,1957,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
GR,1968,"Enseignement, sciences, documentation et culture",1
GR,1975,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
JU,1979,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
JU,1983,"Finances, Impôts, monopoles, entreprises d'état",1
JU,1983,Economie,2
JU,1990,Etat.Dispositions générales.Collaboration intercantonale,1
JU,1990,Economie,10
JU,1992,Economie,3
JU,1993,Economie,3
JU,1995,Economie,1
JU,1996,Economie,3
JU,1997,Economie,1
JU,2000,Economie,1
JU,2001,Economie,2
JU,2002,Economie,1
JU,2006,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
JU,2025,Etat.Dispositions générales.Territoire.Frontières,1
NE,1857,Etat,1
NE,1935,Non classé,1
NW,1842,Publications sans texte,1
OW,1825,Droit civil,1
OW,1834,Droit civil,1
SG,1845,Etat.Eglise et Etat.Eglise catholique romaine,1
SG,1953,"Santé, travail, droit des assurances sociales, logement, homes",1
SG,1957,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
SG,1968,"Enseignement, sciences, documentation et culture",1
SG,1978,"Enseignement, sciences, documentation et culture.Corps enseignant.Formation",1
SG,1979,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
SG,1981,"Enseignement, sciences, documentation et culture.Degré secondaire II: Formation professionnelle initiale.Orientation professionnelle",1
SG,1984,"Enseignement, sciences, documentation et culture.Degré secondaire II.Ecole moyenne",1
SG,1988,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
SG,1988,"Santé, travail, droit des assurances sociales, logement, homes",1
SG,1994,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Marchés publics",1
SG,1999,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Chasse.Chasseurs",1
SG,2012,"Enseignement, sciences, documentation et culture.Sciences, recherche",1
SG,2019,"Enseignement, sciences, documentation et culture",1
SH,1828,Etat.Eglise et Etat.Eglise catholique romaine,1
SH,1878,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
SH,1909,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Energie.Electricité",1
SH,1950,Etat,1
SH,1964,Etat,1
SH,1964,"Défense nationale, protection de la population, police.Douanes.Protection des frontières",1
SH,1976,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Protection de l'environnement.Protection des eaux",1
SH,1978,Etat.Eglise et Etat.Eglise catholique romaine,1
SH,1984,"Défense nationale, protection de la population, police",1
SH,1996,Etat,1
SH,2017,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Assurance-chômage",1
SO,1825,Etat.Dispositions générales.Territoire.Frontières,1
SO,1825,Droit civil,1
SO,1828,Etat.Eglise et Etat.Eglise catholique romaine,1
SO,1834,Droit civil,1
SO,1837,Droit civil,1
SO,1903,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
SO,1926,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
SO,1928,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
SO,1930,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
SO,1947,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
SO,1959,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Marché du travail.Libre circulation",1
SO,1983,"Finances, Impôts, monopoles, entreprises d'état",1
SO,1996,Etat,2
SO,1997,Etat,1
SZ,1824,Etat.Eglise et Etat.Eglise catholique romaine,1
SZ,1842,Etat.Eglise et Etat.Eglise catholique romaine,1
TG,1825,"Santé, travail, droit des assurances sociales, logement, homes",1
TG,1828,Etat.Eglise et Etat.Eglise catholique romaine,1
TG,1829,Etat.Eglise et Etat.Eglise catholique romaine,1
TG,1831,Etat.Dispositions générales.Territoire.Frontières,1
TG,1834,"Santé, travail, droit des assurances sociales, logement, homes",1
TG,1934,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les successions et les donations",1
TG,1978,Etat.Eglise et Etat.Eglise catholique romaine,1
TG,1979,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
TI,1884,Etat,1
TI,1968,Etat.Eglise et Etat.Eglise catholique romaine,1
VD,1825,Droit civil,1
VD,1834,Droit civil,1
VD,1885,Droit civil.Procédure civile.Exécution,1
VD,1958,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
VD,1976,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
VD,1980,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
VD,1983,Non classé,1
VD,1996,Etat,1
VD,2001,Etat,1
VD,2012,Etat.Dispositions générales.Collaboration intercantonale,1
VS,1979,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
VS,1980,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Pêche.Zones de pêche",1
VS,1983,"Finances, Impôts, monopoles, entreprises d'état",1
VS,1996,Etat,1
ZG,1825,Droit civil,1
ZG,1828,Etat.Eglise et Etat.Eglise catholique romaine,1
ZG,1834,Droit civil,1
ZG,1928,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
ZH,1825,Droit civil,1
ZH,1834,Droit civil,1
ZH,1979,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Exonération et allégements fiscaux",1
