# Swiss Law Collection — cantonal acts of type 'Constitution' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
GE,1847,1,0,0,0,0,0,0,1
AI,1872,1,0,0,0,0,0,0,1
LU,1875,1,0,0,0,0,0,0,1
BS,1889,1,0,0,0,0,0,0,1
ZG,1894,1,0,0,0,0,0,0,1
SZ,1898,1,0,0,0,0,0,0,1
VS,1907,1,0,0,0,0,0,0,1
NW,1965,1,0,0,0,0,0,0,1
OW,1968,1,0,0,0,0,0,0,1
JU,1977,1,0,0,0,0,0,0,1
AG,1980,1,0,0,0,0,0,0,1
UR,1984,1,0,0,0,0,0,0,1
SO,1986,1,0,0,0,0,0,0,1
TG,1987,1,0,0,0,0,0,0,1
GL,1988,1,0,0,0,0,0,0,1
BE,1993,1,0,0,0,0,0,0,1
AR,1995,1,0,0,0,0,0,0,1
TI,1997,2,0,0,0,0,0,0,2
SG,2001,1,0,0,0,0,0,0,1
SH,2002,1,0,0,0,0,0,0,1
GR,2003,1,0,0,0,0,0,0,1
VD,2003,1,0,0,0,0,0,0,1
FR,2004,1,0,0,0,0,0,0,1
NE,2005,1,0,0,0,0,0,0,1
ZH,2005,1,0,0,0,0,0,0,1
GE,2008,1,0,0,0,0,0,0,1
SZ,2010,1,0,0,0,0,0,0,1
BL,2026,1,0,0,0,0,0,0,1
