# Swiss Law Collection — cantonal acts of type 'Constitution' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1980,Etat.Dispositions générales.Constitution,1
AI,1872,Etat.Dispositions générales.Constitution,1
AR,1995,Etat.Dispositions générales.Constitution,1
BE,1993,Etat.Dispositions générales.Constitution,1
BL,2026,Etat.Dispositions générales.Constitution,1
BS,1889,Etat.Dispositions générales.Constitution,1
FR,2004,Etat.Dispositions générales.Constitution,1
GE,1847,Etat.Dispositions générales.Constitution,1
GE,2008,Etat.Dispositions générales.Constitution,1
GL,1988,Etat.Dispositions générales.Constitution,1
GR,2003,Etat.Dispositions générales.Constitution,1
JU,1977,Etat.Dispositions générales.Constitution,1
LU,1875,Etat.Dispositions générales.Constitution,1
NE,2005,Etat.Dispositions générales.Constitution,1
NW,1965,Etat.Dispositions générales.Constitution,1
OW,1968,Etat.Dispositions générales.Constitution,1
SG,2001,Etat.Dispositions générales.Constitution,1
SH,2002,Etat.Dispositions générales.Constitution,1
SO,1986,Etat,1
SZ,1898,Etat.Dispositions générales.Constitution,1
SZ,2010,Etat.Dispositions générales.Constitution,1
TG,1987,Etat.Dispositions générales.Constitution,1
TI,1997,Etat.Dispositions générales.Constitution,2
UR,1984,Etat.Dispositions générales.Constitution,1
VD,2003,Etat.Dispositions générales.Constitution,1
VS,1907,Etat.Dispositions générales.Constitution,1
ZG,1894,Etat.Dispositions générales.Constitution,1
ZH,2005,Etat.Dispositions générales.Constitution,1
