# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and legal domain
# year = enactment year; 'unknown' rows are undated laws
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,etat,sante,educ,infra,eco,fin,autres,total
BS,1852,0,0,0,1,0,0,0,1
BE,1862,1,0,0,0,0,0,0,1
GL,1878,0,0,0,1,0,0,0,1
OW,1878,0,0,0,0,1,0,0,1
OW,1880,0,0,0,0,1,0,0,1
ZH,1880,0,0,0,1,0,0,0,1
AG,1885,1,0,0,0,0,0,0,1
GL,1888,0,1,0,0,0,0,0,1
NE,1889,1,0,0,0,0,0,0,1
GL,1892,0,0,0,0,0,0,1,1
SO,1893,0,1,0,0,0,0,0,1
NE,1894,0,1,0,0,0,0,0,1
BS,1895,0,0,0,1,0,0,0,1
AR,1896,0,0,1,0,0,0,0,1
ZH,1900,0,0,1,0,0,0,0,1
NW,1901,0,1,0,0,0,0,0,1
BE,1902,0,0,0,1,0,0,0,1
BL,1902,0,0,0,1,0,0,0,1
JU,1902,0,0,0,1,0,0,0,1
TG,1902,0,0,0,1,0,0,0,1
UR,1902,0,0,0,1,0,0,0,1
BE,1903,0,0,0,0,0,1,0,1
VD,1903,0,0,0,1,0,0,0,1
SO,1905,0,0,0,0,0,0,1,1
BE,1907,1,1,0,0,0,0,0,2
NE,1907,0,0,2,0,0,0,0,2
LU,1908,0,0,0,0,0,1,0,1
BL,1909,0,0,0,0,0,1,0,1
GL,1909,0,0,0,0,1,0,0,1
SO,1909,0,0,1,0,0,0,0,1
LU,1910,0,0,0,0,0,1,0,1
NE,1910,0,0,0,1,0,0,2,3
AG,1911,0,1,0,0,0,0,1,2
BE,1911,0,0,0,1,1,0,2,4
BS,1911,0,1,0,0,0,0,0,1
LU,1911,0,0,0,0,0,0,1,1
NE,1911,0,0,0,0,0,0,1,1
ZH,1911,0,0,0,0,1,0,2,3
BS,1912,0,1,0,0,0,0,0,1
SO,1912,1,0,0,0,0,1,0,2
ZG,1912,0,0,0,0,0,0,1,1
AG,1913,0,0,0,0,1,0,0,1
AR,1914,0,1,0,0,0,0,0,1
AG,1915,0,1,0,0,0,1,1,3
TI,1915,0,0,0,0,0,1,0,1
BL,1916,0,1,0,0,0,0,0,1
SH,1916,0,0,0,1,0,0,0,1
ZH,1916,0,0,0,0,0,0,1,1
AG,1917,0,0,0,1,0,0,0,1
AG,1918,0,0,0,0,1,1,0,2
BS,1918,1,0,0,1,0,0,0,2
GR,1918,0,0,0,0,0,0,1,1
TG,1918,0,2,0,0,0,0,0,2
AG,1919,1,0,0,0,0,1,0,2
VS,1919,0,0,0,0,0,0,1,1
AR,1920,0,0,0,0,0,0,1,1
LU,1920,1,0,0,0,0,0,0,1
NE,1920,2,0,0,1,0,0,0,3
