# Swiss Law Collection — cantonal acts of type 'Ordinance' by canton, year and topic (full systematics depth)
# counting_unit: published_copies — one count per canton whose collection publishes the act
# year = enactment year; 'unknown' rows are undated laws
# topic = the LexFind global-systematics path at the depth the source classifies the act, French labels joined by '.' (Etat.Dispositions générales.contrôle des habitants); acts classified only at the top level appear at that depth, unclassified ones as 'Non classé'
# same counts as the canton x year x domain export next to this file, keyed on the full code instead of its first segment: for any (canton, year) the two sum to the same number
# dotted codes and labels in de/fr/it/en: api/v1/categories/global_paths.json
# source: Calculs propres basés sur la base de données de l'Institut pour le fédéralisme (LexFind); https://swiss-law-as-source.github.io
canton,year,topic,number
AG,1885,Etat,1
AG,1911,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1911,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1913,Economie.Commerce.Poids et mesures. moyens de paiement,1
AG,1915,"Droit civil.Dispositions d'introduction du code civil.Droits réels.Registre foncier, mensurations cadastrales",1
AG,1915,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur les chiens",1
AG,1915,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1917,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AG,1918,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Droit de timbre",1
AG,1918,Economie.Agriculture.Production animale.Bovins et petit bétail,1
AG,1919,Etat.Professions juridiques.Notaires.Formation,1
AG,1919,"Finances, Impôts, monopoles, entreprises d'état.Monopoles, régales, entreprises d'état.Régale des sels",1
AG,1925,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Sécurité",1
AG,1930,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Tuberculose",1
AG,1931,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Expropriation",1
AG,1937,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1938,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Employés.Sécurité",1
AG,1942,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Travail à domicile",1
AG,1943,Economie.Agriculture.Production animale.Commerce du bétail,1
AG,1944,Droit civil.Dispositions générales d'introduction du code des obligations.Des divers contrats.Contrat de travail.Conventions collectives.Déclaration de force obligatoire générale,1
AG,1944,"Santé, travail, droit des assurances sociales, logement, homes.Droit du travail.Offices de conciliation",1
AG,1946,Droit pénal.Procédure pénale.Médecine légale,1
AG,1946,"Santé, travail, droit des assurances sociales, logement, homes.Assistance.Donations et collectes publiques",1
AG,1950,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Personnel soignant",1
AG,1951,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Double imposition",1
AG,1951,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Transports.Navigation aérienne.Aéronefs",1
AG,1952,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Lutte contre les maladies.Tuberculose",1
AG,1953,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Substances thérapeutiques, stupéfiants",1
AG,1954,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement.Travaux publics.Aménagement des eaux.Utilisation des eaux",1
AG,1957,Economie.Agriculture.Crédit agricole,1
AG,1958,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Pharmacies et drogueries",1
AG,1959,"Santé, travail, droit des assurances sociales, logement, homes.Logement.Mesures d'encouragement à la construction de logements",1
AG,1960,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1961,"Santé, travail, droit des assurances sociales, logement, homes.Santé.Professions médicales.Dentistes",1
AG,1961,Economie.Agriculture.Améliorations foncières,1
AG,1961,Economie.Agriculture.Epizooties,1
AG,1963,Economie.Agriculture.Epizooties,1
AG,1964,Etat.Autorités.Gouvernement et administration.Procédure administrative,1
AG,1964,"Santé, travail, droit des assurances sociales, logement, homes.Droit des assurances sociales.Allocations familiales.Salariés et indépendants",1
AG,1966,Etat,1
AG,1966,"Enseignement, sciences, documentation et culture.Corps enseignant.Traitement, indemnités",1
AG,1966,"Finances, Impôts, monopoles, entreprises d'état.Finances.Contributions étatiques, subventions",1
AG,1966,"Aménagement du territoire et constructions, expropriation, travaux publics, énergie, transports, environnement",1
AG,1966,"Santé, travail, droit des assurances sociales, logement, homes",1
AG,1967,"Finances, Impôts, monopoles, entreprises d'état.Impôts.Impôts sur le revenu et la fortune / impôts sur les bénéfices et les capitaux.Imputation forfaitaire d'impôt",1
AG,1968,Etat.Autorités.Organisation judiciaire.Autorités judiciaires.Commissions de recours,1
AG,1968,"Santé, travail, droit des assurances sociales, logement, homes",1
