sr_number,title,abbreviation,language,version_date,category,fedlex_uri,source,file_path
0.101.02,Protokoll Nr. 2 vom 6. Mai 1963 zur Konvention zum Schutze der Menschenrechte,,de,1993-10-15,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.02,https://fedlex.data.admin.ch,ch/0/de/0.101.02.md
0.101.06,Protokoll Nr. 6 vom 28. April 1983 zur Konvention zum Schutze der Menschenrechte,,de,2020-06-29,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.06,https://fedlex.data.admin.ch,ch/0/de/0.101.06.md
0.101.07,Protokoll Nr. 7 vom 22. November 1984 zur Konvention zum Schutze der Menschenrechte,,de,2022-09-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.07,https://fedlex.data.admin.ch,ch/0/de/0.101.07.md
0.101.08,Protokoll Nr. 8 vom 19. März 1985 zur Konvention zum Schutze der Menschenrechte,,de,1993-10-15,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.08,https://fedlex.data.admin.ch,ch/0/de/0.101.08.md
0.101.09,Protokoll Nr. 11 vom 11. Mai 1994 zur Konvention zum Schutze der Menschenrechte,,de,2022-03-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.09,https://fedlex.data.admin.ch,ch/0/de/0.101.09.md
0.101.093,Protokoll Nr. 13 vom 3. Mai 2002 zur Konvention zum Schutz der Menschenrechte,,de,2016-06-01,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.093,https://fedlex.data.admin.ch,ch/0/de/0.101.093.md
0.101.094,Protokoll Nr. 14 vom 13. Mai 2004 zur Konvention zum Schutz der Menschenrechte,,de,2022-03-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.094,https://fedlex.data.admin.ch,ch/0/de/0.101.094.md
0.101.095,Protokoll Nr. 15 über die Änderung der Konvention zum Schutze  der Menschenrechte,,de,2013-06-24,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.095,https://fedlex.data.admin.ch,ch/0/de/0.101.095.md
0.101.1,Europäisches Übereinkommen vom 6. Mai 1969 über die an den Verfahren vor der,,de,2016-07-21,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.1,https://fedlex.data.admin.ch,ch/0/de/0.101.1.md
0.101.2,Verfahrensordnung des Europäischen Gerichtshofs für Menschenrechte vom 4. November,,de,2025-04-28,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.2,https://fedlex.data.admin.ch,ch/0/de/0.101.2.md
0.101.3,"Europäisches Übereinkommen vom 5. März 1996 über Personen, welche an Verfahren",,de,2020-07-02,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101.3,https://fedlex.data.admin.ch,ch/0/de/0.101.3.md
0.101,Konvention vom 4. November 1950 zum Schutze der Menschenrechte und Grundfreiheiten,EMRK,de,2022-09-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.101,https://fedlex.data.admin.ch,ch/0/de/0.101.md
0.102.1,Zusatzprotokoll vom 16. November 2009 zur Europäischen Charta der kommunalen,,de,2023-07-05,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.102.1,https://fedlex.data.admin.ch,ch/0/de/0.102.1.md
0.102,Europäische Charta der kommunalen Selbstverwaltung vom 15. Oktober 1985,,de,2022-03-16,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.102,https://fedlex.data.admin.ch,ch/0/de/0.102.md
0.103.1,"Internationaler Pakt vom 16. Dezember 1966 über wirtschaftliche, soziale und",,de,2024-11-28,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.103.1,https://fedlex.data.admin.ch,ch/0/de/0.103.1.md
0.103.2,Internationaler Pakt vom 16. Dezember 1966 über bürgerliche und politische,,de,2022-05-09,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.103.2,https://fedlex.data.admin.ch,ch/0/de/0.103.2.md
0.103.22,Zweites Fakultativprotokoll vom 15. Dezember 1989 zum Internationalen Pakt,,de,2024-06-04,Systematische Sammlung des Bundesrechts (Völkerrecht),https://fedlex.data.admin.ch/eli/cc/0.103.22,https://fedlex.data.admin.ch,ch/0/de/0.103.22.md
